ptr_nvnDeviceBuilderSetDefaults 0x7101c31430
ptr_nvnQueueBuilderSetDevice 0x7101c31540
ptr_nvnQueueBuilderSetDefaults 0x7101c31548
ptr_nvnQueueBuilderSetFlags 0x7101c31550
ptr_nvnQueueBuilderSetCommandMemorySize 0x7101c31558
ptr_nvnQueueBuilderSetComputeMemorySize 0x7101c31560
ptr_nvnQueueBuilderSetControlMemorySize 0x7101c31568
ptr_nvnQueueBuilderGetQueueMemorySize 0x7101c31570
ptr_nvnQueueBuilderSetQueueMemory 0x7101c31578
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7101c31580
ptr_nvnQueueBuilderSetQueuePriority 0x7101c31588
ptr_nvnQueueBuilderGetQueuePriority 0x7101c31590
ptr_nvnQueueBuilderGetDevice 0x7101c31598
ptr_nvnQueueBuilderGetFlags 0x7101c315a0
ptr_nvnQueueBuilderGetCommandMemorySize 0x7101c315a8
ptr_nvnQueueBuilderGetComputeMemorySize 0x7101c315b0
ptr_nvnQueueBuilderGetControlMemorySize 0x7101c315b8
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7101c315c0
ptr_nvnQueueBuilderGetMemorySize 0x7101c315c8
ptr_nvnQueueBuilderGetMemory 0x7101c315d0
ptr_nvnQueueInitialize 0x7101c315d8
ptr_nvnQueueFinalize 0x7101c315e0
ptr_nvnQueueSetDebugLabel 0x7101c315e8
ptr_nvnQueueSubmitCommands 0x7101c315f0
ptr_nvnQueueFlush 0x7101c315f8
ptr_nvnQueueFinish 0x7101c31600
ptr_nvnQueuePresentTexture 0x7101c31608
ptr_nvnQueueAcquireTexture 0x7101c31610
ptr_nvnWindowBuilderSetDevice 0x7101c31618
ptr_nvnWindowBuilderSetDefaults 0x7101c31620
ptr_nvnWindowBuilderSetNativeWindow 0x7101c31628
ptr_nvnWindowBuilderSetTextures 0x7101c31630
ptr_nvnWindowBuilderSetPresentInterval 0x7101c31638
ptr_nvnWindowBuilderSetNumActiveTextures 0x7101c31640
ptr_nvnWindowBuilderGetDevice 0x7101c31648
ptr_nvnWindowBuilderGetNumTextures 0x7101c31650
ptr_nvnWindowBuilderGetTexture 0x7101c31658
ptr_nvnWindowBuilderGetNativeWindow 0x7101c31660
ptr_nvnWindowBuilderGetPresentInterval 0x7101c31668
ptr_nvnWindowBuilderGetNumActiveTextures 0x7101c31670
ptr_nvnWindowInitialize 0x7101c31678
ptr_nvnWindowFinalize 0x7101c31680
ptr_nvnWindowSetDebugLabel 0x7101c31688
ptr_nvnWindowAcquireTexture 0x7101c31690
ptr_nvnWindowGetNativeWindow 0x7101c31698
ptr_nvnWindowGetPresentInterval 0x7101c316a0
ptr_nvnWindowSetPresentInterval 0x7101c316a8
ptr_nvnWindowSetCrop 0x7101c316b0
ptr_nvnWindowGetCrop 0x7101c316b8
ptr_nvnWindowSetNumActiveTextures 0x7101c316c0
ptr_nvnWindowGetNumActiveTextures 0x7101c316c8
ptr_nvnWindowGetNumTextures 0x7101c316d0
ptr_nvnProgramInitialize 0x7101c316d8
ptr_nvnProgramFinalize 0x7101c316e0
ptr_nvnProgramSetDebugLabel 0x7101c316e8
ptr_nvnProgramSetShaders 0x7101c316f0
ptr_nvnProgramSetShadersExt 0x7101c316f8
ptr_nvnProgramSetSampleShading 0x7101c31700
ptr_nvnMemoryPoolBuilderSetDevice 0x7101c31708
ptr_nvnMemoryPoolBuilderSetDefaults 0x7101c31710
ptr_nvnMemoryPoolBuilderSetStorage 0x7101c31718
ptr_nvnMemoryPoolBuilderSetFlags 0x7101c31720
ptr_nvnMemoryPoolBuilderGetDevice 0x7101c31728
ptr_nvnMemoryPoolBuilderGetMemory 0x7101c31730
ptr_nvnMemoryPoolBuilderGetSize 0x7101c31738
ptr_nvnMemoryPoolBuilderGetFlags 0x7101c31740
ptr_nvnMemoryPoolInitialize 0x7101c31748
ptr_nvnMemoryPoolSetDebugLabel 0x7101c31750
ptr_nvnMemoryPoolFinalize 0x7101c31758
ptr_nvnMemoryPoolMap 0x7101c31760
ptr_nvnMemoryPoolFlushMappedRange 0x7101c31768
ptr_nvnMemoryPoolInvalidateMappedRange 0x7101c31770
ptr_nvnMemoryPoolGetBufferAddress 0x7101c31778
ptr_nvnMemoryPoolMapVirtual 0x7101c31780
ptr_nvnMemoryPoolGetSize 0x7101c31788
ptr_nvnMemoryPoolGetFlags 0x7101c31790
ptr_nvnTexturePoolInitialize 0x7101c31798
ptr_nvnTexturePoolSetDebugLabel 0x7101c317a0
ptr_nvnTexturePoolFinalize 0x7101c317a8
ptr_nvnTexturePoolRegisterTexture 0x7101c317b0
ptr_nvnTexturePoolRegisterImage 0x7101c317b8
ptr_nvnTexturePoolGetMemoryPool 0x7101c317c0
ptr_nvnTexturePoolGetMemoryOffset 0x7101c317c8
ptr_nvnTexturePoolGetSize 0x7101c317d0
ptr_nvnSamplerPoolInitialize 0x7101c317d8
ptr_nvnSamplerPoolSetDebugLabel 0x7101c317e0
ptr_nvnSamplerPoolFinalize 0x7101c317e8
ptr_nvnSamplerPoolRegisterSampler 0x7101c317f0
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7101c317f8
ptr_nvnSamplerPoolGetMemoryPool 0x7101c31800
ptr_nvnSamplerPoolGetMemoryOffset 0x7101c31808
ptr_nvnSamplerPoolGetSize 0x7101c31810
ptr_nvnBufferBuilderSetDevice 0x7101c31818
ptr_nvnBufferBuilderSetDefaults 0x7101c31820
ptr_nvnBufferBuilderSetStorage 0x7101c31828
ptr_nvnBufferBuilderGetDevice 0x7101c31830
ptr_nvnBufferBuilderGetMemoryPool 0x7101c31838
ptr_nvnBufferBuilderGetMemoryOffset 0x7101c31840
ptr_nvnBufferBuilderGetSize 0x7101c31848
ptr_nvnBufferInitialize 0x7101c31850
ptr_nvnBufferSetDebugLabel 0x7101c31858
ptr_nvnBufferFinalize 0x7101c31860
ptr_nvnBufferMap 0x7101c31868
ptr_nvnBufferGetAddress 0x7101c31870
ptr_nvnBufferFlushMappedRange 0x7101c31878
ptr_nvnBufferInvalidateMappedRange 0x7101c31880
ptr_nvnBufferGetMemoryPool 0x7101c31888
ptr_nvnBufferGetMemoryOffset 0x7101c31890
ptr_nvnBufferGetSize 0x7101c31898
ptr_nvnBufferGetDebugID 0x7101c318a0
ptr_nvnTextureBuilderSetDevice 0x7101c318a8
ptr_nvnTextureBuilderSetDefaults 0x7101c318b0
ptr_nvnTextureBuilderSetFlags 0x7101c318b8
ptr_nvnTextureBuilderSetTarget 0x7101c318c0
ptr_nvnTextureBuilderSetWidth 0x7101c318c8
ptr_nvnTextureBuilderSetHeight 0x7101c318d0
ptr_nvnTextureBuilderSetDepth 0x7101c318d8
ptr_nvnTextureBuilderSetSize1D 0x7101c318e0
ptr_nvnTextureBuilderSetSize2D 0x7101c318e8
ptr_nvnTextureBuilderSetSize3D 0x7101c318f0
ptr_nvnTextureBuilderSetLevels 0x7101c318f8
ptr_nvnTextureBuilderSetFormat 0x7101c31900
ptr_nvnTextureBuilderSetSamples 0x7101c31908
ptr_nvnTextureBuilderSetSwizzle 0x7101c31910
ptr_nvnTextureBuilderSetDepthStencilMode 0x7101c31918
ptr_nvnTextureBuilderGetStorageSize 0x7101c31920
ptr_nvnTextureBuilderGetStorageAlignment 0x7101c31928
ptr_nvnTextureBuilderSetStorage 0x7101c31930
ptr_nvnTextureBuilderSetPackagedTextureData 0x7101c31938
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7101c31940
ptr_nvnTextureBuilderSetStride 0x7101c31948
ptr_nvnTextureBuilderSetGLTextureName 0x7101c31950
ptr_nvnTextureBuilderGetStorageClass 0x7101c31958
ptr_nvnTextureBuilderGetDevice 0x7101c31960
ptr_nvnTextureBuilderGetFlags 0x7101c31968
ptr_nvnTextureBuilderGetTarget 0x7101c31970
ptr_nvnTextureBuilderGetWidth 0x7101c31978
ptr_nvnTextureBuilderGetHeight 0x7101c31980
ptr_nvnTextureBuilderGetDepth 0x7101c31988
ptr_nvnTextureBuilderGetLevels 0x7101c31990
ptr_nvnTextureBuilderGetFormat 0x7101c31998
ptr_nvnTextureBuilderGetSamples 0x7101c319a0
ptr_nvnTextureBuilderGetSwizzle 0x7101c319a8
ptr_nvnTextureBuilderGetDepthStencilMode 0x7101c319b0
ptr_nvnTextureBuilderGetPackagedTextureData 0x7101c319b8
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7101c319c0
ptr_nvnTextureBuilderGetStride 0x7101c319c8
ptr_nvnTextureBuilderGetSparseTileLayout 0x7101c319d0
ptr_nvnTextureBuilderGetGLTextureName 0x7101c319d8
ptr_nvnTextureBuilderGetZCullStorageSize 0x7101c319e0
ptr_nvnTextureBuilderGetMemoryPool 0x7101c319e8
ptr_nvnTextureBuilderGetMemoryOffset 0x7101c319f0
ptr_nvnTextureBuilderGetRawStorageClass 0x7101c319f8
ptr_nvnTextureViewSetDefaults 0x7101c31a00
ptr_nvnTextureViewSetLevels 0x7101c31a08
ptr_nvnTextureViewSetLayers 0x7101c31a10
ptr_nvnTextureViewSetFormat 0x7101c31a18
ptr_nvnTextureViewSetSwizzle 0x7101c31a20
ptr_nvnTextureViewSetDepthStencilMode 0x7101c31a28
ptr_nvnTextureViewSetTarget 0x7101c31a30
ptr_nvnTextureViewGetLevels 0x7101c31a38
ptr_nvnTextureViewGetLayers 0x7101c31a40
ptr_nvnTextureViewGetFormat 0x7101c31a48
ptr_nvnTextureViewGetSwizzle 0x7101c31a50
ptr_nvnTextureViewGetDepthStencilMode 0x7101c31a58
ptr_nvnTextureViewGetTarget 0x7101c31a60
ptr_nvnTextureViewCompare 0x7101c31a68
ptr_nvnTextureInitialize 0x7101c31a70
ptr_nvnTextureGetZCullStorageSize 0x7101c31a78
ptr_nvnTextureFinalize 0x7101c31a80
ptr_nvnTextureSetDebugLabel 0x7101c31a88
ptr_nvnTextureGetStorageClass 0x7101c31a90
ptr_nvnTextureGetViewOffset 0x7101c31a98
ptr_nvnTextureGetFlags 0x7101c31aa0
ptr_nvnTextureGetTarget 0x7101c31aa8
ptr_nvnTextureGetWidth 0x7101c31ab0
ptr_nvnTextureGetHeight 0x7101c31ab8
ptr_nvnTextureGetDepth 0x7101c31ac0
ptr_nvnTextureGetLevels 0x7101c31ac8
ptr_nvnTextureGetFormat 0x7101c31ad0
ptr_nvnTextureGetSamples 0x7101c31ad8
ptr_nvnTextureGetSwizzle 0x7101c31ae0
ptr_nvnTextureGetDepthStencilMode 0x7101c31ae8
ptr_nvnTextureGetStride 0x7101c31af0
ptr_nvnTextureGetTextureAddress 0x7101c31af8
ptr_nvnTextureGetSparseTileLayout 0x7101c31b00
ptr_nvnTextureWriteTexels 0x7101c31b08
ptr_nvnTextureWriteTexelsStrided 0x7101c31b10
ptr_nvnTextureReadTexels 0x7101c31b18
ptr_nvnTextureReadTexelsStrided 0x7101c31b20
ptr_nvnTextureFlushTexels 0x7101c31b28
ptr_nvnTextureInvalidateTexels 0x7101c31b30
ptr_nvnTextureGetMemoryPool 0x7101c31b38
ptr_nvnTextureGetMemoryOffset 0x7101c31b40
ptr_nvnTextureGetStorageSize 0x7101c31b48
ptr_nvnTextureCompare 0x7101c31b50
ptr_nvnTextureGetDebugID 0x7101c31b58
ptr_nvnTextureGetRawStorageClass 0x7101c31b60
ptr_nvnSamplerBuilderSetDevice 0x7101c31b68
ptr_nvnSamplerBuilderSetDefaults 0x7101c31b70
ptr_nvnSamplerBuilderSetMinMagFilter 0x7101c31b78
ptr_nvnSamplerBuilderSetWrapMode 0x7101c31b80
ptr_nvnSamplerBuilderSetLodClamp 0x7101c31b88
ptr_nvnSamplerBuilderSetLodBias 0x7101c31b90
ptr_nvnSamplerBuilderSetCompare 0x7101c31b98
ptr_nvnSamplerBuilderSetBorderColor 0x7101c31ba0
ptr_nvnSamplerBuilderSetBorderColori 0x7101c31ba8
ptr_nvnSamplerBuilderSetBorderColorui 0x7101c31bb0
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7101c31bb8
ptr_nvnSamplerBuilderSetReductionFilter 0x7101c31bc0
ptr_nvnSamplerBuilderSetLodSnap 0x7101c31bc8
ptr_nvnSamplerBuilderGetDevice 0x7101c31bd0
ptr_nvnSamplerBuilderGetMinMagFilter 0x7101c31bd8
ptr_nvnSamplerBuilderGetWrapMode 0x7101c31be0
ptr_nvnSamplerBuilderGetLodClamp 0x7101c31be8
ptr_nvnSamplerBuilderGetLodBias 0x7101c31bf0
ptr_nvnSamplerBuilderGetCompare 0x7101c31bf8
ptr_nvnSamplerBuilderGetBorderColor 0x7101c31c00
ptr_nvnSamplerBuilderGetBorderColori 0x7101c31c08
ptr_nvnSamplerBuilderGetBorderColorui 0x7101c31c10
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7101c31c18
ptr_nvnSamplerBuilderGetReductionFilter 0x7101c31c20
ptr_nvnSamplerBuilderGetLodSnap 0x7101c31c28
ptr_nvnSamplerInitialize 0x7101c31c30
ptr_nvnSamplerFinalize 0x7101c31c38
ptr_nvnSamplerSetDebugLabel 0x7101c31c40
ptr_nvnSamplerGetMinMagFilter 0x7101c31c48
ptr_nvnSamplerGetWrapMode 0x7101c31c50
ptr_nvnSamplerGetLodClamp 0x7101c31c58
ptr_nvnSamplerGetLodBias 0x7101c31c60
ptr_nvnSamplerGetCompare 0x7101c31c68
ptr_nvnSamplerGetBorderColor 0x7101c31c70
ptr_nvnSamplerGetBorderColori 0x7101c31c78
ptr_nvnSamplerGetBorderColorui 0x7101c31c80
ptr_nvnSamplerGetMaxAnisotropy 0x7101c31c88
ptr_nvnSamplerGetReductionFilter 0x7101c31c90
ptr_nvnSamplerCompare 0x7101c31c98
ptr_nvnSamplerGetDebugID 0x7101c31ca0
ptr_nvnBlendStateSetDefaults 0x7101c31ca8
ptr_nvnBlendStateSetBlendTarget 0x7101c31cb0
ptr_nvnBlendStateSetBlendFunc 0x7101c31cb8
ptr_nvnBlendStateSetBlendEquation 0x7101c31cc0
ptr_nvnBlendStateSetAdvancedMode 0x7101c31cc8
ptr_nvnBlendStateSetAdvancedOverlap 0x7101c31cd0
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7101c31cd8
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7101c31ce0
ptr_nvnBlendStateGetBlendTarget 0x7101c31ce8
ptr_nvnBlendStateGetBlendFunc 0x7101c31cf0
ptr_nvnBlendStateGetBlendEquation 0x7101c31cf8
ptr_nvnBlendStateGetAdvancedMode 0x7101c31d00
ptr_nvnBlendStateGetAdvancedOverlap 0x7101c31d08
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7101c31d10
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7101c31d18
ptr_nvnColorStateSetDefaults 0x7101c31d20
ptr_nvnColorStateSetBlendEnable 0x7101c31d28
ptr_nvnColorStateSetLogicOp 0x7101c31d30
ptr_nvnColorStateSetAlphaTest 0x7101c31d38
ptr_nvnColorStateGetBlendEnable 0x7101c31d40
ptr_nvnColorStateGetLogicOp 0x7101c31d48
ptr_nvnColorStateGetAlphaTest 0x7101c31d50
ptr_nvnChannelMaskStateSetDefaults 0x7101c31d58
ptr_nvnChannelMaskStateSetChannelMask 0x7101c31d60
ptr_nvnChannelMaskStateGetChannelMask 0x7101c31d68
ptr_nvnMultisampleStateSetDefaults 0x7101c31d70
ptr_nvnMultisampleStateSetMultisampleEnable 0x7101c31d78
ptr_nvnMultisampleStateSetSamples 0x7101c31d80
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7101c31d88
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7101c31d90
ptr_nvnMultisampleStateGetMultisampleEnable 0x7101c31d98
ptr_nvnMultisampleStateGetSamples 0x7101c31da0
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7101c31da8
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7101c31db0
ptr_nvnMultisampleStateSetRasterSamples 0x7101c31db8
ptr_nvnMultisampleStateGetRasterSamples 0x7101c31dc0
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7101c31dc8
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7101c31dd0
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7101c31dd8
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7101c31de0
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7101c31de8
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7101c31df0
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7101c31df8
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7101c31e00
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7101c31e08
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7101c31e10
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7101c31e18
ptr_nvnMultisampleStateSetSampleLocations 0x7101c31e20
ptr_nvnPolygonStateSetDefaults 0x7101c31e28
ptr_nvnPolygonStateSetCullFace 0x7101c31e30
ptr_nvnPolygonStateSetFrontFace 0x7101c31e38
ptr_nvnPolygonStateSetPolygonMode 0x7101c31e40
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7101c31e48
ptr_nvnPolygonStateGetCullFace 0x7101c31e50
ptr_nvnPolygonStateGetFrontFace 0x7101c31e58
ptr_nvnPolygonStateGetPolygonMode 0x7101c31e60
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7101c31e68
ptr_nvnDepthStencilStateSetDefaults 0x7101c31e70
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7101c31e78
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7101c31e80
ptr_nvnDepthStencilStateSetDepthFunc 0x7101c31e88
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7101c31e90
ptr_nvnDepthStencilStateSetStencilFunc 0x7101c31e98
ptr_nvnDepthStencilStateSetStencilOp 0x7101c31ea0
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7101c31ea8
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7101c31eb0
ptr_nvnDepthStencilStateGetDepthFunc 0x7101c31eb8
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7101c31ec0
ptr_nvnDepthStencilStateGetStencilFunc 0x7101c31ec8
ptr_nvnDepthStencilStateGetStencilOp 0x7101c31ed0
ptr_nvnVertexAttribStateSetDefaults 0x7101c31ed8
ptr_nvnVertexAttribStateSetFormat 0x7101c31ee0
ptr_nvnVertexAttribStateSetStreamIndex 0x7101c31ee8
ptr_nvnVertexAttribStateGetFormat 0x7101c31ef0
ptr_nvnVertexAttribStateGetStreamIndex 0x7101c31ef8
ptr_nvnVertexStreamStateSetDefaults 0x7101c31f00
ptr_nvnVertexStreamStateSetStride 0x7101c31f08
ptr_nvnVertexStreamStateSetDivisor 0x7101c31f10
ptr_nvnVertexStreamStateGetStride 0x7101c31f18
ptr_nvnVertexStreamStateGetDivisor 0x7101c31f20
ptr_nvnCommandBufferInitialize 0x7101c31f28
ptr_nvnCommandBufferFinalize 0x7101c31f30
ptr_nvnCommandBufferSetDebugLabel 0x7101c31f38
ptr_nvnCommandBufferSetMemoryCallback 0x7101c31f40
ptr_nvnCommandBufferSetMemoryCallbackData 0x7101c31f48
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7101c31f50
ptr_nvnCommandBufferAddCommandMemory 0x7101c31f58
ptr_nvnCommandBufferAddControlMemory 0x7101c31f60
ptr_nvnCommandBufferGetCommandMemorySize 0x7101c31f68
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7101c31f70
ptr_nvnCommandBufferGetCommandMemoryFree 0x7101c31f78
ptr_nvnCommandBufferGetControlMemorySize 0x7101c31f80
ptr_nvnCommandBufferGetControlMemoryUsed 0x7101c31f88
ptr_nvnCommandBufferGetControlMemoryFree 0x7101c31f90
ptr_nvnCommandBufferBeginRecording 0x7101c31f98
ptr_nvnCommandBufferEndRecording 0x7101c31fa0
ptr_nvnCommandBufferCallCommands 0x7101c31fa8
ptr_nvnCommandBufferCopyCommands 0x7101c31fb0
ptr_nvnCommandBufferBindBlendState 0x7101c31fb8
ptr_nvnCommandBufferBindChannelMaskState 0x7101c31fc0
ptr_nvnCommandBufferBindColorState 0x7101c31fc8
ptr_nvnCommandBufferBindMultisampleState 0x7101c31fd0
ptr_nvnCommandBufferBindPolygonState 0x7101c31fd8
ptr_nvnCommandBufferBindDepthStencilState 0x7101c31fe0
ptr_nvnCommandBufferBindVertexAttribState 0x7101c31fe8
ptr_nvnCommandBufferBindVertexStreamState 0x7101c31ff0
ptr_nvnCommandBufferBindProgram 0x7101c31ff8
ptr_nvnCommandBufferBindVertexBuffer 0x7101c32000
ptr_nvnCommandBufferBindVertexBuffers 0x7101c32008
ptr_nvnCommandBufferBindUniformBuffer 0x7101c32010
ptr_nvnCommandBufferBindUniformBuffers 0x7101c32018
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7101c32020
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7101c32028
ptr_nvnCommandBufferBindStorageBuffer 0x7101c32030
ptr_nvnCommandBufferBindStorageBuffers 0x7101c32038
ptr_nvnCommandBufferBindTexture 0x7101c32040
ptr_nvnCommandBufferBindTextures 0x7101c32048
ptr_nvnCommandBufferBindImage 0x7101c32050
ptr_nvnCommandBufferBindImages 0x7101c32058
ptr_nvnCommandBufferSetPatchSize 0x7101c32060
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7101c32068
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7101c32070
ptr_nvnCommandBufferSetPrimitiveRestart 0x7101c32078
ptr_nvnCommandBufferBeginTransformFeedback 0x7101c32080
ptr_nvnCommandBufferEndTransformFeedback 0x7101c32088
ptr_nvnCommandBufferPauseTransformFeedback 0x7101c32090
ptr_nvnCommandBufferResumeTransformFeedback 0x7101c32098
ptr_nvnCommandBufferDrawTransformFeedback 0x7101c320a0
ptr_nvnCommandBufferDrawArrays 0x7101c320a8
ptr_nvnCommandBufferDrawElements 0x7101c320b0
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7101c320b8
ptr_nvnCommandBufferDrawArraysInstanced 0x7101c320c0
ptr_nvnCommandBufferDrawElementsInstanced 0x7101c320c8
ptr_nvnCommandBufferDrawArraysIndirect 0x7101c320d0
ptr_nvnCommandBufferDrawElementsIndirect 0x7101c320d8
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7101c320e0
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7101c320e8
ptr_nvnCommandBufferClearColor 0x7101c320f0
ptr_nvnCommandBufferClearColori 0x7101c320f8
ptr_nvnCommandBufferClearColorui 0x7101c32100
ptr_nvnCommandBufferClearDepthStencil 0x7101c32108
ptr_nvnCommandBufferDispatchCompute 0x7101c32110
ptr_nvnCommandBufferDispatchComputeIndirect 0x7101c32118
ptr_nvnCommandBufferSetViewport 0x7101c32120
ptr_nvnCommandBufferSetViewports 0x7101c32128
ptr_nvnCommandBufferSetViewportSwizzles 0x7101c32130
ptr_nvnCommandBufferSetScissor 0x7101c32138
ptr_nvnCommandBufferSetScissors 0x7101c32140
ptr_nvnCommandBufferSetDepthRange 0x7101c32148
ptr_nvnCommandBufferSetDepthBounds 0x7101c32150
ptr_nvnCommandBufferSetDepthRanges 0x7101c32158
ptr_nvnCommandBufferSetTiledCacheAction 0x7101c32160
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7101c32168
ptr_nvnCommandBufferBindSeparateTexture 0x7101c32170
ptr_nvnCommandBufferBindSeparateSampler 0x7101c32178
ptr_nvnCommandBufferBindSeparateTextures 0x7101c32180
ptr_nvnCommandBufferBindSeparateSamplers 0x7101c32188
ptr_nvnCommandBufferSetStencilValueMask 0x7101c32190
ptr_nvnCommandBufferSetStencilMask 0x7101c32198
ptr_nvnCommandBufferSetStencilRef 0x7101c321a0
ptr_nvnCommandBufferSetBlendColor 0x7101c321a8
ptr_nvnCommandBufferSetPointSize 0x7101c321b0
ptr_nvnCommandBufferSetLineWidth 0x7101c321b8
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7101c321c0
ptr_nvnCommandBufferSetAlphaRef 0x7101c321c8
ptr_nvnCommandBufferSetSampleMask 0x7101c321d0
ptr_nvnCommandBufferSetRasterizerDiscard 0x7101c321d8
ptr_nvnCommandBufferSetDepthClamp 0x7101c321e0
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7101c321e8
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7101c321f0
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7101c321f8
ptr_nvnCommandBufferCopyBufferToTexture 0x7101c32200
ptr_nvnCommandBufferCopyTextureToBuffer 0x7101c32208
ptr_nvnCommandBufferCopyTextureToTexture 0x7101c32210
ptr_nvnCommandBufferCopyBufferToBuffer 0x7101c32218
ptr_nvnCommandBufferClearBuffer 0x7101c32220
ptr_nvnCommandBufferClearTexture 0x7101c32228
ptr_nvnCommandBufferClearTexturei 0x7101c32230
ptr_nvnCommandBufferClearTextureui 0x7101c32238
ptr_nvnCommandBufferUpdateUniformBuffer 0x7101c32240
ptr_nvnCommandBufferReportCounter 0x7101c32248
ptr_nvnCommandBufferResetCounter 0x7101c32250
ptr_nvnCommandBufferReportValue 0x7101c32258
ptr_nvnCommandBufferSetRenderEnable 0x7101c32260
ptr_nvnCommandBufferSetRenderEnableConditional 0x7101c32268
ptr_nvnCommandBufferSetRenderTargets 0x7101c32270
ptr_nvnCommandBufferDiscardColor 0x7101c32278
ptr_nvnCommandBufferDiscardDepthStencil 0x7101c32280
ptr_nvnCommandBufferDownsample 0x7101c32288
