ptr_nvnDeviceBuilderSetDefaults 0x7102516ce8
ptr_nvnTextureGetMemoryOffset 0x7102517330
ptr_nvnTextureGetStorageSize 0x7102517338
ptr_nvnTextureCompare 0x7102517340
ptr_nvnTextureGetDebugID 0x7102517348
ptr_nvnSamplerBuilderSetDevice 0x7102517350
ptr_nvnSamplerBuilderSetDefaults 0x7102517358
ptr_nvnSamplerBuilderSetMinMagFilter 0x7102517360
ptr_nvnSamplerBuilderSetWrapMode 0x7102517368
ptr_nvnSamplerBuilderSetLodClamp 0x7102517370
ptr_nvnSamplerBuilderSetLodBias 0x7102517378
ptr_nvnSamplerBuilderSetCompare 0x7102517380
ptr_nvnSamplerBuilderSetBorderColor 0x7102517388
ptr_nvnSamplerBuilderSetBorderColori 0x7102517390
ptr_nvnSamplerBuilderSetBorderColorui 0x7102517398
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x71025173a0
ptr_nvnSamplerBuilderSetReductionFilter 0x71025173a8
ptr_nvnSamplerBuilderSetLodSnap 0x71025173b0
ptr_nvnSamplerBuilderGetMinMagFilter 0x71025173b8
ptr_nvnSamplerBuilderGetWrapMode 0x71025173c0
ptr_nvnSamplerBuilderGetLodClamp 0x71025173c8
ptr_nvnSamplerBuilderGetLodBias 0x71025173d0
ptr_nvnSamplerBuilderGetCompare 0x71025173d8
ptr_nvnSamplerBuilderGetBorderColor 0x71025173e0
ptr_nvnSamplerBuilderGetBorderColori 0x71025173e8
ptr_nvnSamplerBuilderGetBorderColorui 0x71025173f0
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x71025173f8
ptr_nvnSamplerBuilderGetReductionFilter 0x7102517400
ptr_nvnSamplerBuilderGetLodSnap 0x7102517408
ptr_nvnSamplerInitialize 0x7102517410
ptr_nvnSamplerFinalize 0x7102517418
ptr_nvnSamplerSetDebugLabel 0x7102517420
ptr_nvnSamplerGetMinMagFilter 0x7102517428
ptr_nvnSamplerGetWrapMode 0x7102517430
ptr_nvnSamplerGetLodClamp 0x7102517438
ptr_nvnSamplerGetLodBias 0x7102517440
ptr_nvnSamplerGetCompare 0x7102517448
ptr_nvnSamplerGetBorderColor 0x7102517450
ptr_nvnSamplerGetBorderColori 0x7102517458
ptr_nvnSamplerGetBorderColorui 0x7102517460
ptr_nvnSamplerGetMaxAnisotropy 0x7102517468
ptr_nvnSamplerGetReductionFilter 0x7102517470
ptr_nvnSamplerCompare 0x7102517478
ptr_nvnSamplerGetDebugID 0x7102517480
ptr_nvnBlendStateSetDefaults 0x7102517488
ptr_nvnBlendStateSetBlendTarget 0x7102517490
ptr_nvnBlendStateSetBlendFunc 0x7102517498
ptr_nvnBlendStateSetBlendEquation 0x71025174a0
ptr_nvnBlendStateSetAdvancedMode 0x71025174a8
ptr_nvnBlendStateSetAdvancedOverlap 0x71025174b0
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x71025174b8
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x71025174c0
ptr_nvnBlendStateGetBlendTarget 0x71025174c8
ptr_nvnBlendStateGetBlendFunc 0x71025174d0
ptr_nvnBlendStateGetBlendEquation 0x71025174d8
ptr_nvnBlendStateGetAdvancedMode 0x71025174e0
ptr_nvnBlendStateGetAdvancedOverlap 0x71025174e8
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x71025174f0
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x71025174f8
ptr_nvnColorStateSetDefaults 0x7102517500
ptr_nvnColorStateSetBlendEnable 0x7102517508
ptr_nvnColorStateSetLogicOp 0x7102517510
ptr_nvnColorStateSetAlphaTest 0x7102517518
ptr_nvnColorStateGetBlendEnable 0x7102517520
ptr_nvnColorStateGetLogicOp 0x7102517528
ptr_nvnColorStateGetAlphaTest 0x7102517530
ptr_nvnChannelMaskStateSetDefaults 0x7102517538
ptr_nvnChannelMaskStateSetChannelMask 0x7102517540
ptr_nvnChannelMaskStateGetChannelMask 0x7102517548
ptr_nvnMultisampleStateSetDefaults 0x7102517550
ptr_nvnMultisampleStateSetMultisampleEnable 0x7102517558
ptr_nvnMultisampleStateSetSamples 0x7102517560
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7102517568
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7102517570
ptr_nvnMultisampleStateGetMultisampleEnable 0x7102517578
ptr_nvnMultisampleStateGetSamples 0x7102517580
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7102517588
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7102517590
ptr_nvnMultisampleStateSetRasterSamples 0x7102517598
ptr_nvnMultisampleStateGetRasterSamples 0x71025175a0
ptr_nvnMultisampleStateSetCoverageModulationMode 0x71025175a8
ptr_nvnMultisampleStateGetCoverageModulationMode 0x71025175b0
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x71025175b8
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x71025175c0
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x71025175c8
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x71025175d0
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x71025175d8
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x71025175e0
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x71025175e8
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x71025175f0
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x71025175f8
ptr_nvnMultisampleStateSetSampleLocations 0x7102517600
ptr_nvnPolygonStateSetDefaults 0x7102517608
ptr_nvnPolygonStateSetCullFace 0x7102517610
ptr_nvnPolygonStateSetFrontFace 0x7102517618
ptr_nvnPolygonStateSetPolygonMode 0x7102517620
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7102517628
ptr_nvnPolygonStateGetCullFace 0x7102517630
ptr_nvnPolygonStateGetFrontFace 0x7102517638
ptr_nvnPolygonStateGetPolygonMode 0x7102517640
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7102517648
ptr_nvnDepthStencilStateSetDefaults 0x7102517650
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7102517658
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7102517660
ptr_nvnDepthStencilStateSetDepthFunc 0x7102517668
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7102517670
ptr_nvnDepthStencilStateSetStencilFunc 0x7102517678
ptr_nvnDepthStencilStateSetStencilOp 0x7102517680
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7102517688
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7102517690
ptr_nvnDepthStencilStateGetDepthFunc 0x7102517698
ptr_nvnDepthStencilStateGetStencilTestEnable 0x71025176a0
ptr_nvnDepthStencilStateGetStencilFunc 0x71025176a8
ptr_nvnDepthStencilStateGetStencilOp 0x71025176b0
ptr_nvnVertexAttribStateSetDefaults 0x71025176b8
ptr_nvnVertexAttribStateSetFormat 0x71025176c0
ptr_nvnVertexAttribStateSetStreamIndex 0x71025176c8
ptr_nvnVertexAttribStateGetFormat 0x71025176d0
ptr_nvnVertexAttribStateGetStreamIndex 0x71025176d8
ptr_nvnVertexStreamStateSetDefaults 0x71025176e0
ptr_nvnVertexStreamStateSetStride 0x71025176e8
ptr_nvnVertexStreamStateSetDivisor 0x71025176f0
ptr_nvnVertexStreamStateGetStride 0x71025176f8
ptr_nvnVertexStreamStateGetDivisor 0x7102517700
ptr_nvnCommandBufferInitialize 0x7102517708
ptr_nvnCommandBufferFinalize 0x7102517710
ptr_nvnCommandBufferSetDebugLabel 0x7102517718
ptr_nvnCommandBufferSetMemoryCallback 0x7102517720
ptr_nvnCommandBufferSetMemoryCallbackData 0x7102517728
ptr_nvnCommandBufferAddCommandMemory 0x7102517730
ptr_nvnCommandBufferAddControlMemory 0x7102517738
ptr_nvnCommandBufferGetCommandMemorySize 0x7102517740
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7102517748
ptr_nvnCommandBufferGetCommandMemoryFree 0x7102517750
ptr_nvnCommandBufferGetControlMemorySize 0x7102517758
ptr_nvnCommandBufferGetControlMemoryUsed 0x7102517760
ptr_nvnCommandBufferGetControlMemoryFree 0x7102517768
ptr_nvnCommandBufferBeginRecording 0x7102517770
ptr_nvnCommandBufferEndRecording 0x7102517778
ptr_nvnCommandBufferCallCommands 0x7102517780
ptr_nvnCommandBufferCopyCommands 0x7102517788
ptr_nvnCommandBufferBindBlendState 0x7102517790
ptr_nvnCommandBufferBindChannelMaskState 0x7102517798
ptr_nvnCommandBufferBindColorState 0x71025177a0
ptr_nvnCommandBufferBindMultisampleState 0x71025177a8
ptr_nvnCommandBufferBindPolygonState 0x71025177b0
ptr_nvnCommandBufferBindDepthStencilState 0x71025177b8
ptr_nvnCommandBufferBindVertexAttribState 0x71025177c0
ptr_nvnCommandBufferBindVertexStreamState 0x71025177c8
ptr_nvnCommandBufferBindProgram 0x71025177d0
ptr_nvnCommandBufferBindVertexBuffer 0x71025177d8
ptr_nvnCommandBufferBindVertexBuffers 0x71025177e0
ptr_nvnCommandBufferBindUniformBuffer 0x71025177e8
ptr_nvnCommandBufferBindUniformBuffers 0x71025177f0
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x71025177f8
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7102517800
ptr_nvnCommandBufferBindStorageBuffer 0x7102517808
ptr_nvnCommandBufferBindStorageBuffers 0x7102517810
ptr_nvnCommandBufferBindTexture 0x7102517818
ptr_nvnCommandBufferBindTextures 0x7102517820
ptr_nvnCommandBufferBindImage 0x7102517828
ptr_nvnCommandBufferBindImages 0x7102517830
ptr_nvnCommandBufferSetPatchSize 0x7102517838
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7102517840
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7102517848
ptr_nvnCommandBufferSetPrimitiveRestart 0x7102517850
ptr_nvnCommandBufferBeginTransformFeedback 0x7102517858
ptr_nvnCommandBufferEndTransformFeedback 0x7102517860
ptr_nvnCommandBufferPauseTransformFeedback 0x7102517868
ptr_nvnCommandBufferResumeTransformFeedback 0x7102517870
ptr_nvnCommandBufferDrawTransformFeedback 0x7102517878
ptr_nvnCommandBufferDrawArrays 0x7102517880
ptr_nvnCommandBufferDrawElements 0x7102517888
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7102517890
ptr_nvnCommandBufferDrawArraysInstanced 0x7102517898
ptr_nvnCommandBufferDrawElementsInstanced 0x71025178a0
ptr_nvnCommandBufferDrawArraysIndirect 0x71025178a8
ptr_nvnCommandBufferDrawElementsIndirect 0x71025178b0
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x71025178b8
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x71025178c0
ptr_nvnCommandBufferClearColor 0x71025178c8
ptr_nvnCommandBufferClearColori 0x71025178d0
ptr_nvnCommandBufferClearColorui 0x71025178d8
ptr_nvnCommandBufferClearDepthStencil 0x71025178e0
ptr_nvnCommandBufferDispatchCompute 0x71025178e8
ptr_nvnCommandBufferDispatchComputeIndirect 0x71025178f0
ptr_nvnCommandBufferSetViewport 0x71025178f8
ptr_nvnCommandBufferSetViewports 0x7102517900
ptr_nvnCommandBufferSetViewportSwizzles 0x7102517908
ptr_nvnCommandBufferSetScissor 0x7102517910
ptr_nvnCommandBufferSetScissors 0x7102517918
ptr_nvnCommandBufferSetDepthRange 0x7102517920
ptr_nvnCommandBufferSetDepthBounds 0x7102517928
ptr_nvnCommandBufferSetDepthRanges 0x7102517930
ptr_nvnCommandBufferSetTiledCacheAction 0x7102517938
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7102517940
ptr_nvnCommandBufferBindSeparateTexture 0x7102517948
ptr_nvnCommandBufferBindSeparateSampler 0x7102517950
ptr_nvnCommandBufferBindSeparateTextures 0x7102517958
ptr_nvnCommandBufferBindSeparateSamplers 0x7102517960
ptr_nvnCommandBufferSetStencilValueMask 0x7102517968
ptr_nvnCommandBufferSetStencilMask 0x7102517970
ptr_nvnCommandBufferSetStencilRef 0x7102517978
ptr_nvnCommandBufferSetBlendColor 0x7102517980
ptr_nvnCommandBufferSetPointSize 0x7102517988
ptr_nvnCommandBufferSetLineWidth 0x7102517990
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7102517998
ptr_nvnCommandBufferSetAlphaRef 0x71025179a0
ptr_nvnCommandBufferSetSampleMask 0x71025179a8
ptr_nvnCommandBufferSetRasterizerDiscard 0x71025179b0
ptr_nvnCommandBufferSetDepthClamp 0x71025179b8
ptr_nvnCommandBufferSetConservativeRasterEnable 0x71025179c0
ptr_nvnCommandBufferSetConservativeRasterDilate 0x71025179c8
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x71025179d0
ptr_nvnCommandBufferCopyBufferToTexture 0x71025179d8
ptr_nvnCommandBufferCopyTextureToBuffer 0x71025179e0
ptr_nvnCommandBufferCopyTextureToTexture 0x71025179e8
ptr_nvnCommandBufferCopyBufferToBuffer 0x71025179f0
ptr_nvnCommandBufferClearBuffer 0x71025179f8
ptr_nvnCommandBufferClearTexture 0x7102517a00
ptr_nvnCommandBufferClearTexturei 0x7102517a08
ptr_nvnCommandBufferClearTextureui 0x7102517a10
ptr_nvnCommandBufferUpdateUniformBuffer 0x7102517a18
ptr_nvnCommandBufferReportCounter 0x7102517a20
ptr_nvnCommandBufferResetCounter 0x7102517a28
ptr_nvnCommandBufferReportValue 0x7102517a30
ptr_nvnCommandBufferSetRenderEnable 0x7102517a38
ptr_nvnCommandBufferSetRenderEnableConditional 0x7102517a40
ptr_nvnCommandBufferSetRenderTargets 0x7102517a48
ptr_nvnCommandBufferDiscardColor 0x7102517a50
ptr_nvnCommandBufferDiscardDepthStencil 0x7102517a58
ptr_nvnCommandBufferDownsample 0x7102517a60
ptr_nvnCommandBufferTiledDownsample 0x7102517a68
ptr_nvnCommandBufferDownsampleTextureView 0x7102517a70
ptr_nvnCommandBufferTiledDownsampleTextureView 0x7102517a78
ptr_nvnCommandBufferBarrier 0x7102517a80
ptr_nvnCommandBufferWaitSync 0x7102517a88
ptr_nvnCommandBufferFenceSync 0x7102517a90
ptr_nvnCommandBufferSetTexturePool 0x7102517a98
ptr_nvnCommandBufferSetSamplerPool 0x7102517aa0
ptr_nvnCommandBufferSetShaderScratchMemory 0x7102517aa8
ptr_nvnCommandBufferSaveZCullData 0x7102517ab0
ptr_nvnCommandBufferRestoreZCullData 0x7102517ab8
ptr_nvnCommandBufferSetCopyRowStride 0x7102517ac0
ptr_nvnCommandBufferSetCopyImageStride 0x7102517ac8
ptr_nvnCommandBufferGetCopyRowStride 0x7102517ad0
ptr_nvnCommandBufferGetCopyImageStride 0x7102517ad8
ptr_nvnCommandBufferDrawTexture 0x7102517ae0
ptr_nvnProgramSetSubroutineLinkage 0x7102517ae8
ptr_nvnCommandBufferSetProgramSubroutines 0x7102517af0
ptr_nvnCommandBufferBindCoverageModulationTable 0x7102517af8
ptr_nvnCommandBufferResolveDepthBuffer 0x7102517b00
ptr_nvnCommandBufferPushDebugGroupStatic 0x7102517b08
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7102517b10
ptr_nvnCommandBufferPushDebugGroup 0x7102517b18
ptr_nvnCommandBufferPopDebugGroup 0x7102517b20
ptr_nvnCommandBufferPopDebugGroupId 0x7102517b28
ptr_nvnCommandBufferInsertDebugMarkerStatic 0x7102517b30
ptr_nvnCommandBufferInsertDebugMarkerDynamic 0x7102517b38
ptr_nvnCommandBufferInsertDebugMarker 0x7102517b40
ptr_nvnCommandBufferGetMemoryCallback 0x7102517b48
ptr_nvnCommandBufferGetMemoryCallbackData 0x7102517b50
ptr_nvnCommandBufferIsRecording 0x7102517b58
ptr_nvnSyncInitialize 0x7102517b60
ptr_nvnSyncFinalize 0x7102517b68
ptr_nvnSyncSetDebugLabel 0x7102517b70
ptr_nvnQueueFenceSync 0x7102517b78
ptr_nvnSyncWait 0x7102517b80
ptr_nvnQueueWaitSync 0x7102517b88
ptr_nvnEventBuilderSetDefaults 0x7102517b90
ptr_nvnEventBuilderSetStorage 0x7102517b98
ptr_nvnEventInitialize 0x7102517ba0
ptr_nvnEventFinalize 0x7102517ba8
ptr_nvnEventGetValue 0x7102517bb0
ptr_nvnEventSignal 0x7102517bb8
ptr_nvnCommandBufferWaitEvent 0x7102517bc0
ptr_nvnCommandBufferSignalEvent 0x7102517bc8
