ptr_nvnDeviceBuilderSetDefaults 0x7102984970
ptr_nvnTextureGetStorageClass 0x7102984ee8
ptr_nvnTextureGetViewOffset 0x7102984ef0
ptr_nvnTextureGetFlags 0x7102984ef8
ptr_nvnTextureGetTarget 0x7102984f00
ptr_nvnTextureGetWidth 0x7102984f08
ptr_nvnTextureGetHeight 0x7102984f10
ptr_nvnTextureGetDepth 0x7102984f18
ptr_nvnTextureGetLevels 0x7102984f20
ptr_nvnTextureGetFormat 0x7102984f28
ptr_nvnTextureGetSamples 0x7102984f30
ptr_nvnTextureGetSwizzle 0x7102984f38
ptr_nvnTextureGetDepthStencilMode 0x7102984f40
ptr_nvnTextureGetStride 0x7102984f48
ptr_nvnTextureGetTextureAddress 0x7102984f50
ptr_nvnTextureGetSparseTileLayout 0x7102984f58
ptr_nvnTextureWriteTexels 0x7102984f60
ptr_nvnTextureReadTexels 0x7102984f68
ptr_nvnTextureFlushTexels 0x7102984f70
ptr_nvnTextureInvalidateTexels 0x7102984f78
ptr_nvnTextureGetMemoryPool 0x7102984f80
ptr_nvnTextureGetMemoryOffset 0x7102984f88
ptr_nvnTextureGetStorageSize 0x7102984f90
ptr_nvnTextureCompare 0x7102984f98
ptr_nvnTextureGetDebugID 0x7102984fa0
ptr_nvnSamplerBuilderSetDevice 0x7102984fa8
ptr_nvnSamplerBuilderSetDefaults 0x7102984fb0
ptr_nvnSamplerBuilderSetMinMagFilter 0x7102984fb8
ptr_nvnSamplerBuilderSetWrapMode 0x7102984fc0
ptr_nvnSamplerBuilderSetLodClamp 0x7102984fc8
ptr_nvnSamplerBuilderSetLodBias 0x7102984fd0
ptr_nvnSamplerBuilderSetCompare 0x7102984fd8
ptr_nvnSamplerBuilderSetBorderColor 0x7102984fe0
ptr_nvnSamplerBuilderSetBorderColori 0x7102984fe8
ptr_nvnSamplerBuilderSetBorderColorui 0x7102984ff0
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7102984ff8
ptr_nvnSamplerBuilderSetReductionFilter 0x7102985000
ptr_nvnSamplerBuilderGetMinMagFilter 0x7102985008
ptr_nvnSamplerBuilderGetWrapMode 0x7102985010
ptr_nvnSamplerBuilderGetLodClamp 0x7102985018
ptr_nvnSamplerBuilderGetLodBias 0x7102985020
ptr_nvnSamplerBuilderGetCompare 0x7102985028
ptr_nvnSamplerBuilderGetBorderColor 0x7102985030
ptr_nvnSamplerBuilderGetBorderColori 0x7102985038
ptr_nvnSamplerBuilderGetBorderColorui 0x7102985040
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7102985048
ptr_nvnSamplerBuilderGetReductionFilter 0x7102985050
ptr_nvnSamplerInitialize 0x7102985058
ptr_nvnSamplerFinalize 0x7102985060
ptr_nvnSamplerSetDebugLabel 0x7102985068
ptr_nvnSamplerGetMinMagFilter 0x7102985070
ptr_nvnSamplerGetWrapMode 0x7102985078
ptr_nvnSamplerGetLodClamp 0x7102985080
ptr_nvnSamplerGetLodBias 0x7102985088
ptr_nvnSamplerGetCompare 0x7102985090
ptr_nvnSamplerGetBorderColor 0x7102985098
ptr_nvnSamplerGetBorderColori 0x71029850a0
ptr_nvnSamplerGetBorderColorui 0x71029850a8
ptr_nvnSamplerGetMaxAnisotropy 0x71029850b0
ptr_nvnSamplerGetReductionFilter 0x71029850b8
ptr_nvnSamplerCompare 0x71029850c0
ptr_nvnSamplerGetDebugID 0x71029850c8
ptr_nvnBlendStateSetDefaults 0x71029850d0
ptr_nvnBlendStateSetBlendTarget 0x71029850d8
ptr_nvnBlendStateSetBlendFunc 0x71029850e0
ptr_nvnBlendStateSetBlendEquation 0x71029850e8
ptr_nvnBlendStateSetAdvancedMode 0x71029850f0
ptr_nvnBlendStateSetAdvancedOverlap 0x71029850f8
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7102985100
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7102985108
ptr_nvnBlendStateGetBlendTarget 0x7102985110
ptr_nvnBlendStateGetBlendFunc 0x7102985118
ptr_nvnBlendStateGetBlendEquation 0x7102985120
ptr_nvnBlendStateGetAdvancedMode 0x7102985128
ptr_nvnBlendStateGetAdvancedOverlap 0x7102985130
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7102985138
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7102985140
ptr_nvnColorStateSetDefaults 0x7102985148
ptr_nvnColorStateSetBlendEnable 0x7102985150
ptr_nvnColorStateSetLogicOp 0x7102985158
ptr_nvnColorStateSetAlphaTest 0x7102985160
ptr_nvnColorStateGetBlendEnable 0x7102985168
ptr_nvnColorStateGetLogicOp 0x7102985170
ptr_nvnColorStateGetAlphaTest 0x7102985178
ptr_nvnChannelMaskStateSetDefaults 0x7102985180
ptr_nvnChannelMaskStateSetChannelMask 0x7102985188
ptr_nvnChannelMaskStateGetChannelMask 0x7102985190
ptr_nvnMultisampleStateSetDefaults 0x7102985198
ptr_nvnMultisampleStateSetMultisampleEnable 0x71029851a0
ptr_nvnMultisampleStateSetSamples 0x71029851a8
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x71029851b0
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x71029851b8
ptr_nvnMultisampleStateGetMultisampleEnable 0x71029851c0
ptr_nvnMultisampleStateGetSamples 0x71029851c8
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x71029851d0
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x71029851d8
ptr_nvnMultisampleStateSetRasterSamples 0x71029851e0
ptr_nvnMultisampleStateGetRasterSamples 0x71029851e8
ptr_nvnMultisampleStateSetCoverageModulationMode 0x71029851f0
ptr_nvnMultisampleStateGetCoverageModulationMode 0x71029851f8
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7102985200
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7102985208
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7102985210
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7102985218
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7102985220
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7102985228
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7102985230
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7102985238
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7102985240
ptr_nvnMultisampleStateSetSampleLocations 0x7102985248
ptr_nvnPolygonStateSetDefaults 0x7102985250
ptr_nvnPolygonStateSetCullFace 0x7102985258
ptr_nvnPolygonStateSetFrontFace 0x7102985260
ptr_nvnPolygonStateSetPolygonMode 0x7102985268
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7102985270
ptr_nvnPolygonStateGetCullFace 0x7102985278
ptr_nvnPolygonStateGetFrontFace 0x7102985280
ptr_nvnPolygonStateGetPolygonMode 0x7102985288
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7102985290
ptr_nvnDepthStencilStateSetDefaults 0x7102985298
ptr_nvnDepthStencilStateSetDepthTestEnable 0x71029852a0
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x71029852a8
ptr_nvnDepthStencilStateSetDepthFunc 0x71029852b0
ptr_nvnDepthStencilStateSetStencilTestEnable 0x71029852b8
ptr_nvnDepthStencilStateSetStencilFunc 0x71029852c0
ptr_nvnDepthStencilStateSetStencilOp 0x71029852c8
ptr_nvnDepthStencilStateGetDepthTestEnable 0x71029852d0
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x71029852d8
ptr_nvnDepthStencilStateGetDepthFunc 0x71029852e0
ptr_nvnDepthStencilStateGetStencilTestEnable 0x71029852e8
ptr_nvnDepthStencilStateGetStencilFunc 0x71029852f0
ptr_nvnDepthStencilStateGetStencilOp 0x71029852f8
ptr_nvnVertexAttribStateSetDefaults 0x7102985300
ptr_nvnVertexAttribStateSetFormat 0x7102985308
ptr_nvnVertexAttribStateSetStreamIndex 0x7102985310
ptr_nvnVertexAttribStateGetFormat 0x7102985318
ptr_nvnVertexAttribStateGetStreamIndex 0x7102985320
ptr_nvnVertexStreamStateSetDefaults 0x7102985328
ptr_nvnVertexStreamStateSetStride 0x7102985330
ptr_nvnVertexStreamStateSetDivisor 0x7102985338
ptr_nvnVertexStreamStateGetStride 0x7102985340
ptr_nvnVertexStreamStateGetDivisor 0x7102985348
ptr_nvnCommandBufferInitialize 0x7102985350
ptr_nvnCommandBufferFinalize 0x7102985358
ptr_nvnCommandBufferSetDebugLabel 0x7102985360
ptr_nvnCommandBufferSetMemoryCallback 0x7102985368
ptr_nvnCommandBufferSetMemoryCallbackData 0x7102985370
ptr_nvnCommandBufferAddCommandMemory 0x7102985378
ptr_nvnCommandBufferAddControlMemory 0x7102985380
ptr_nvnCommandBufferGetCommandMemorySize 0x7102985388
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7102985390
ptr_nvnCommandBufferGetCommandMemoryFree 0x7102985398
ptr_nvnCommandBufferGetControlMemorySize 0x71029853a0
ptr_nvnCommandBufferGetControlMemoryUsed 0x71029853a8
ptr_nvnCommandBufferGetControlMemoryFree 0x71029853b0
ptr_nvnCommandBufferBeginRecording 0x71029853b8
ptr_nvnCommandBufferEndRecording 0x71029853c0
ptr_nvnCommandBufferCallCommands 0x71029853c8
ptr_nvnCommandBufferCopyCommands 0x71029853d0
ptr_nvnCommandBufferBindBlendState 0x71029853d8
ptr_nvnCommandBufferBindChannelMaskState 0x71029853e0
ptr_nvnCommandBufferBindColorState 0x71029853e8
ptr_nvnCommandBufferBindMultisampleState 0x71029853f0
ptr_nvnCommandBufferBindPolygonState 0x71029853f8
ptr_nvnCommandBufferBindDepthStencilState 0x7102985400
ptr_nvnCommandBufferBindVertexAttribState 0x7102985408
ptr_nvnCommandBufferBindVertexStreamState 0x7102985410
ptr_nvnCommandBufferBindProgram 0x7102985418
ptr_nvnCommandBufferBindVertexBuffer 0x7102985420
ptr_nvnCommandBufferBindVertexBuffers 0x7102985428
ptr_nvnCommandBufferBindUniformBuffer 0x7102985430
ptr_nvnCommandBufferBindUniformBuffers 0x7102985438
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7102985440
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7102985448
ptr_nvnCommandBufferBindStorageBuffer 0x7102985450
ptr_nvnCommandBufferBindStorageBuffers 0x7102985458
ptr_nvnCommandBufferBindTexture 0x7102985460
ptr_nvnCommandBufferBindTextures 0x7102985468
ptr_nvnCommandBufferBindImage 0x7102985470
ptr_nvnCommandBufferBindImages 0x7102985478
ptr_nvnCommandBufferSetPatchSize 0x7102985480
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7102985488
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7102985490
ptr_nvnCommandBufferSetPrimitiveRestart 0x7102985498
ptr_nvnCommandBufferBeginTransformFeedback 0x71029854a0
ptr_nvnCommandBufferEndTransformFeedback 0x71029854a8
ptr_nvnCommandBufferPauseTransformFeedback 0x71029854b0
ptr_nvnCommandBufferResumeTransformFeedback 0x71029854b8
ptr_nvnCommandBufferDrawTransformFeedback 0x71029854c0
ptr_nvnCommandBufferDrawArrays 0x71029854c8
ptr_nvnCommandBufferDrawElements 0x71029854d0
ptr_nvnCommandBufferDrawElementsBaseVertex 0x71029854d8
ptr_nvnCommandBufferDrawArraysInstanced 0x71029854e0
ptr_nvnCommandBufferDrawElementsInstanced 0x71029854e8
ptr_nvnCommandBufferDrawArraysIndirect 0x71029854f0
ptr_nvnCommandBufferDrawElementsIndirect 0x71029854f8
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7102985500
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7102985508
ptr_nvnCommandBufferClearColor 0x7102985510
ptr_nvnCommandBufferClearColori 0x7102985518
ptr_nvnCommandBufferClearColorui 0x7102985520
ptr_nvnCommandBufferClearDepthStencil 0x7102985528
ptr_nvnCommandBufferDispatchCompute 0x7102985530
ptr_nvnCommandBufferDispatchComputeIndirect 0x7102985538
ptr_nvnCommandBufferSetViewport 0x7102985540
ptr_nvnCommandBufferSetViewports 0x7102985548
ptr_nvnCommandBufferSetViewportSwizzles 0x7102985550
ptr_nvnCommandBufferSetScissor 0x7102985558
ptr_nvnCommandBufferSetScissors 0x7102985560
ptr_nvnCommandBufferSetDepthRange 0x7102985568
ptr_nvnCommandBufferSetDepthBounds 0x7102985570
ptr_nvnCommandBufferSetDepthRanges 0x7102985578
ptr_nvnCommandBufferSetTiledCacheAction 0x7102985580
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7102985588
ptr_nvnCommandBufferSetStencilValueMask 0x7102985590
ptr_nvnCommandBufferSetStencilMask 0x7102985598
ptr_nvnCommandBufferSetStencilRef 0x71029855a0
ptr_nvnCommandBufferSetBlendColor 0x71029855a8
ptr_nvnCommandBufferSetPointSize 0x71029855b0
ptr_nvnCommandBufferSetLineWidth 0x71029855b8
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x71029855c0
ptr_nvnCommandBufferSetAlphaRef 0x71029855c8
ptr_nvnCommandBufferSetSampleMask 0x71029855d0
ptr_nvnCommandBufferSetRasterizerDiscard 0x71029855d8
ptr_nvnCommandBufferSetDepthClamp 0x71029855e0
ptr_nvnCommandBufferSetConservativeRasterEnable 0x71029855e8
ptr_nvnCommandBufferSetConservativeRasterDilate 0x71029855f0
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x71029855f8
ptr_nvnCommandBufferCopyBufferToTexture 0x7102985600
ptr_nvnCommandBufferCopyTextureToBuffer 0x7102985608
ptr_nvnCommandBufferCopyTextureToTexture 0x7102985610
ptr_nvnCommandBufferCopyBufferToBuffer 0x7102985618
ptr_nvnCommandBufferClearBuffer 0x7102985620
ptr_nvnCommandBufferClearTexture 0x7102985628
ptr_nvnCommandBufferClearTexturei 0x7102985630
ptr_nvnCommandBufferClearTextureui 0x7102985638
ptr_nvnCommandBufferUpdateUniformBuffer 0x7102985640
ptr_nvnCommandBufferReportCounter 0x7102985648
ptr_nvnCommandBufferResetCounter 0x7102985650
ptr_nvnCommandBufferReportValue 0x7102985658
ptr_nvnCommandBufferSetRenderEnable 0x7102985660
ptr_nvnCommandBufferSetRenderEnableConditional 0x7102985668
ptr_nvnCommandBufferSetRenderTargets 0x7102985670
ptr_nvnCommandBufferDiscardColor 0x7102985678
ptr_nvnCommandBufferDiscardDepthStencil 0x7102985680
ptr_nvnCommandBufferDownsample 0x7102985688
ptr_nvnCommandBufferTiledDownsample 0x7102985690
ptr_nvnCommandBufferBarrier 0x7102985698
ptr_nvnCommandBufferWaitSync 0x71029856a0
ptr_nvnCommandBufferFenceSync 0x71029856a8
ptr_nvnCommandBufferSetTexturePool 0x71029856b0
ptr_nvnCommandBufferSetSamplerPool 0x71029856b8
ptr_nvnCommandBufferSetShaderScratchMemory 0x71029856c0
ptr_nvnCommandBufferSaveZCullData 0x71029856c8
ptr_nvnCommandBufferRestoreZCullData 0x71029856d0
ptr_nvnCommandBufferSetCopyRowStride 0x71029856d8
ptr_nvnCommandBufferSetCopyImageStride 0x71029856e0
ptr_nvnCommandBufferGetCopyRowStride 0x71029856e8
ptr_nvnCommandBufferGetCopyImageStride 0x71029856f0
ptr_nvnCommandBufferDrawTexture 0x71029856f8
ptr_nvnProgramSetSubroutineLinkage 0x7102985700
ptr_nvnCommandBufferSetProgramSubroutines 0x7102985708
ptr_nvnCommandBufferBindCoverageModulationTable 0x7102985710
ptr_nvnCommandBufferResolveDepthBuffer 0x7102985718
ptr_nvnCommandBufferPushDebugGroupStatic 0x7102985720
ptr_nvnCommandBufferPushDebugGroupDynamic 0x7102985728
ptr_nvnCommandBufferPushDebugGroup 0x7102985730
ptr_nvnCommandBufferPopDebugGroup 0x7102985738
ptr_nvnCommandBufferPopDebugGroupId 0x7102985740
ptr_nvnCommandBufferInsertDebugMarker 0x7102985748
ptr_nvnCommandBufferGetMemoryCallback 0x7102985750
ptr_nvnCommandBufferGetMemoryCallbackData 0x7102985758
ptr_nvnCommandBufferIsRecording 0x7102985760
ptr_nvnSyncInitialize 0x7102985768
ptr_nvnSyncFinalize 0x7102985770
ptr_nvnSyncSetDebugLabel 0x7102985778
ptr_nvnQueueFenceSync 0x7102985780
ptr_nvnSyncWait 0x7102985788
ptr_nvnQueueWaitSync 0x7102985790
