ptr_nvnDeviceBuilderSetDefaults 0x7103bf10d8
ptr_nvnQueueBuilderGetMemory 0x7103bf1280
ptr_nvnQueueInitialize 0x7103bf1288
ptr_nvnQueueFinalize 0x7103bf1290
ptr_nvnQueueSetDebugLabel 0x7103bf1298
ptr_nvnQueueSubmitCommands 0x7103bf12a0
ptr_nvnQueueFlush 0x7103bf12a8
ptr_nvnQueueFinish 0x7103bf12b0
ptr_nvnQueuePresentTexture 0x7103bf12b8
ptr_nvnQueueAcquireTexture 0x7103bf12c0
ptr_nvnWindowBuilderSetDevice 0x7103bf12c8
ptr_nvnWindowBuilderSetDefaults 0x7103bf12d0
ptr_nvnWindowBuilderSetNativeWindow 0x7103bf12d8
ptr_nvnWindowBuilderSetTextures 0x7103bf12e0
ptr_nvnWindowBuilderSetPresentInterval 0x7103bf12e8
ptr_nvnWindowBuilderSetNumActiveTextures 0x7103bf12f0
ptr_nvnWindowBuilderGetDevice 0x7103bf12f8
ptr_nvnWindowBuilderGetNumTextures 0x7103bf1300
ptr_nvnWindowBuilderGetTexture 0x7103bf1308
ptr_nvnWindowBuilderGetNativeWindow 0x7103bf1310
ptr_nvnWindowBuilderGetPresentInterval 0x7103bf1318
ptr_nvnWindowBuilderGetNumActiveTextures 0x7103bf1320
ptr_nvnWindowInitialize 0x7103bf1328
ptr_nvnWindowFinalize 0x7103bf1330
ptr_nvnWindowSetDebugLabel 0x7103bf1338
ptr_nvnWindowAcquireTexture 0x7103bf1340
ptr_nvnWindowGetNativeWindow 0x7103bf1348
ptr_nvnWindowGetPresentInterval 0x7103bf1350
ptr_nvnWindowSetPresentInterval 0x7103bf1358
ptr_nvnWindowSetCrop 0x7103bf1360
ptr_nvnWindowGetCrop 0x7103bf1368
ptr_nvnWindowSetNumActiveTextures 0x7103bf1370
ptr_nvnWindowGetNumActiveTextures 0x7103bf1378
ptr_nvnWindowGetNumTextures 0x7103bf1380
ptr_nvnProgramInitialize 0x7103bf1388
ptr_nvnProgramFinalize 0x7103bf1390
ptr_nvnProgramSetDebugLabel 0x7103bf1398
ptr_nvnProgramSetShaders 0x7103bf13a0
ptr_nvnProgramSetShadersExt 0x7103bf13a8
ptr_nvnProgramSetSampleShading 0x7103bf13b0
ptr_nvnMemoryPoolBuilderSetDevice 0x7103bf13b8
ptr_nvnMemoryPoolBuilderSetDefaults 0x7103bf13c0
ptr_nvnMemoryPoolBuilderSetStorage 0x7103bf13c8
ptr_nvnMemoryPoolBuilderSetFlags 0x7103bf13d0
ptr_nvnMemoryPoolBuilderGetDevice 0x7103bf13d8
ptr_nvnMemoryPoolBuilderGetMemory 0x7103bf13e0
ptr_nvnMemoryPoolBuilderGetSize 0x7103bf13e8
ptr_nvnMemoryPoolBuilderGetFlags 0x7103bf13f0
ptr_nvnMemoryPoolInitialize 0x7103bf13f8
ptr_nvnMemoryPoolSetDebugLabel 0x7103bf1400
ptr_nvnMemoryPoolFinalize 0x7103bf1408
ptr_nvnMemoryPoolMap 0x7103bf1410
ptr_nvnMemoryPoolFlushMappedRange 0x7103bf1418
ptr_nvnMemoryPoolInvalidateMappedRange 0x7103bf1420
ptr_nvnMemoryPoolGetBufferAddress 0x7103bf1428
ptr_nvnMemoryPoolMapVirtual 0x7103bf1430
ptr_nvnMemoryPoolGetSize 0x7103bf1438
ptr_nvnMemoryPoolGetFlags 0x7103bf1440
ptr_nvnTexturePoolInitialize 0x7103bf1448
ptr_nvnTexturePoolSetDebugLabel 0x7103bf1450
ptr_nvnTexturePoolFinalize 0x7103bf1458
ptr_nvnTexturePoolRegisterTexture 0x7103bf1460
ptr_nvnTexturePoolRegisterImage 0x7103bf1468
ptr_nvnTexturePoolGetMemoryPool 0x7103bf1470
ptr_nvnTexturePoolGetMemoryOffset 0x7103bf1478
ptr_nvnTexturePoolGetSize 0x7103bf1480
ptr_nvnSamplerPoolInitialize 0x7103bf1488
ptr_nvnSamplerPoolSetDebugLabel 0x7103bf1490
ptr_nvnSamplerPoolFinalize 0x7103bf1498
ptr_nvnSamplerPoolRegisterSampler 0x7103bf14a0
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7103bf14a8
ptr_nvnSamplerPoolGetMemoryPool 0x7103bf14b0
ptr_nvnSamplerPoolGetMemoryOffset 0x7103bf14b8
ptr_nvnSamplerPoolGetSize 0x7103bf14c0
ptr_nvnBufferBuilderSetDevice 0x7103bf14c8
ptr_nvnBufferBuilderSetDefaults 0x7103bf14d0
ptr_nvnBufferBuilderSetStorage 0x7103bf14d8
ptr_nvnBufferBuilderGetDevice 0x7103bf14e0
ptr_nvnBufferBuilderGetMemoryPool 0x7103bf14e8
ptr_nvnBufferBuilderGetMemoryOffset 0x7103bf14f0
ptr_nvnBufferBuilderGetSize 0x7103bf14f8
ptr_nvnBufferInitialize 0x7103bf1500
ptr_nvnBufferSetDebugLabel 0x7103bf1508
ptr_nvnBufferFinalize 0x7103bf1510
ptr_nvnBufferMap 0x7103bf1518
ptr_nvnBufferGetAddress 0x7103bf1520
ptr_nvnBufferFlushMappedRange 0x7103bf1528
ptr_nvnBufferInvalidateMappedRange 0x7103bf1530
ptr_nvnBufferGetMemoryPool 0x7103bf1538
ptr_nvnBufferGetMemoryOffset 0x7103bf1540
ptr_nvnBufferGetSize 0x7103bf1548
ptr_nvnBufferGetDebugID 0x7103bf1550
ptr_nvnTextureBuilderSetDevice 0x7103bf1558
ptr_nvnTextureBuilderSetDefaults 0x7103bf1560
ptr_nvnTextureBuilderSetFlags 0x7103bf1568
ptr_nvnTextureBuilderSetTarget 0x7103bf1570
ptr_nvnTextureBuilderSetWidth 0x7103bf1578
ptr_nvnTextureBuilderSetHeight 0x7103bf1580
ptr_nvnTextureBuilderSetDepth 0x7103bf1588
ptr_nvnTextureBuilderSetSize1D 0x7103bf1590
ptr_nvnTextureBuilderSetSize2D 0x7103bf1598
ptr_nvnTextureBuilderSetSize3D 0x7103bf15a0
ptr_nvnTextureBuilderSetLevels 0x7103bf15a8
ptr_nvnTextureBuilderSetFormat 0x7103bf15b0
ptr_nvnTextureBuilderSetSamples 0x7103bf15b8
ptr_nvnTextureBuilderSetSwizzle 0x7103bf15c0
ptr_nvnTextureBuilderSetDepthStencilMode 0x7103bf15c8
ptr_nvnTextureBuilderGetStorageSize 0x7103bf15d0
ptr_nvnTextureBuilderGetStorageAlignment 0x7103bf15d8
ptr_nvnTextureBuilderSetStorage 0x7103bf15e0
ptr_nvnTextureBuilderSetPackagedTextureData 0x7103bf15e8
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7103bf15f0
ptr_nvnTextureBuilderSetStride 0x7103bf15f8
ptr_nvnTextureBuilderSetGLTextureName 0x7103bf1600
ptr_nvnTextureBuilderGetStorageClass 0x7103bf1608
ptr_nvnTextureBuilderGetDevice 0x7103bf1610
ptr_nvnTextureBuilderGetFlags 0x7103bf1618
ptr_nvnTextureBuilderGetTarget 0x7103bf1620
ptr_nvnTextureBuilderGetWidth 0x7103bf1628
ptr_nvnTextureBuilderGetHeight 0x7103bf1630
ptr_nvnTextureBuilderGetDepth 0x7103bf1638
ptr_nvnTextureBuilderGetLevels 0x7103bf1640
ptr_nvnTextureBuilderGetFormat 0x7103bf1648
ptr_nvnTextureBuilderGetSamples 0x7103bf1650
ptr_nvnTextureBuilderGetSwizzle 0x7103bf1658
ptr_nvnTextureBuilderGetDepthStencilMode 0x7103bf1660
ptr_nvnTextureBuilderGetPackagedTextureData 0x7103bf1668
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7103bf1670
ptr_nvnTextureBuilderGetStride 0x7103bf1678
ptr_nvnTextureBuilderGetSparseTileLayout 0x7103bf1680
ptr_nvnTextureBuilderGetGLTextureName 0x7103bf1688
ptr_nvnTextureBuilderGetZCullStorageSize 0x7103bf1690
ptr_nvnTextureBuilderGetMemoryPool 0x7103bf1698
ptr_nvnTextureBuilderGetMemoryOffset 0x7103bf16a0
ptr_nvnTextureBuilderGetRawStorageClass 0x7103bf16a8
ptr_nvnTextureViewSetDefaults 0x7103bf16b0
ptr_nvnTextureViewSetLevels 0x7103bf16b8
ptr_nvnTextureViewSetLayers 0x7103bf16c0
ptr_nvnTextureViewSetFormat 0x7103bf16c8
ptr_nvnTextureViewSetSwizzle 0x7103bf16d0
ptr_nvnTextureViewSetDepthStencilMode 0x7103bf16d8
ptr_nvnTextureViewSetTarget 0x7103bf16e0
ptr_nvnTextureViewGetLevels 0x7103bf16e8
ptr_nvnTextureViewGetLayers 0x7103bf16f0
ptr_nvnTextureViewGetFormat 0x7103bf16f8
ptr_nvnTextureViewGetSwizzle 0x7103bf1700
ptr_nvnTextureViewGetDepthStencilMode 0x7103bf1708
ptr_nvnTextureViewGetTarget 0x7103bf1710
ptr_nvnTextureViewCompare 0x7103bf1718
ptr_nvnTextureInitialize 0x7103bf1720
ptr_nvnTextureGetZCullStorageSize 0x7103bf1728
ptr_nvnTextureFinalize 0x7103bf1730
ptr_nvnTextureSetDebugLabel 0x7103bf1738
ptr_nvnTextureGetStorageClass 0x7103bf1740
ptr_nvnTextureGetViewOffset 0x7103bf1748
ptr_nvnTextureGetFlags 0x7103bf1750
ptr_nvnTextureGetTarget 0x7103bf1758
ptr_nvnTextureGetWidth 0x7103bf1760
ptr_nvnTextureGetHeight 0x7103bf1768
ptr_nvnTextureGetDepth 0x7103bf1770
ptr_nvnTextureGetLevels 0x7103bf1778
ptr_nvnTextureGetFormat 0x7103bf1780
ptr_nvnTextureGetSamples 0x7103bf1788
ptr_nvnTextureGetSwizzle 0x7103bf1790
ptr_nvnTextureGetDepthStencilMode 0x7103bf1798
ptr_nvnTextureGetStride 0x7103bf17a0
ptr_nvnTextureGetTextureAddress 0x7103bf17a8
ptr_nvnTextureGetSparseTileLayout 0x7103bf17b0
ptr_nvnTextureWriteTexels 0x7103bf17b8
ptr_nvnTextureWriteTexelsStrided 0x7103bf17c0
ptr_nvnTextureReadTexels 0x7103bf17c8
ptr_nvnTextureReadTexelsStrided 0x7103bf17d0
ptr_nvnTextureFlushTexels 0x7103bf17d8
ptr_nvnTextureInvalidateTexels 0x7103bf17e0
ptr_nvnTextureGetMemoryPool 0x7103bf17e8
ptr_nvnTextureGetMemoryOffset 0x7103bf17f0
ptr_nvnTextureGetStorageSize 0x7103bf17f8
ptr_nvnTextureCompare 0x7103bf1800
ptr_nvnTextureGetDebugID 0x7103bf1808
ptr_nvnTextureGetRawStorageClass 0x7103bf1810
ptr_nvnSamplerBuilderSetDevice 0x7103bf1818
ptr_nvnSamplerBuilderSetDefaults 0x7103bf1820
ptr_nvnSamplerBuilderSetMinMagFilter 0x7103bf1828
ptr_nvnSamplerBuilderSetWrapMode 0x7103bf1830
ptr_nvnSamplerBuilderSetLodClamp 0x7103bf1838
ptr_nvnSamplerBuilderSetLodBias 0x7103bf1840
ptr_nvnSamplerBuilderSetCompare 0x7103bf1848
ptr_nvnSamplerBuilderSetBorderColor 0x7103bf1850
ptr_nvnSamplerBuilderSetBorderColori 0x7103bf1858
ptr_nvnSamplerBuilderSetBorderColorui 0x7103bf1860
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7103bf1868
ptr_nvnSamplerBuilderSetReductionFilter 0x7103bf1870
ptr_nvnSamplerBuilderSetLodSnap 0x7103bf1878
ptr_nvnSamplerBuilderGetDevice 0x7103bf1880
ptr_nvnSamplerBuilderGetMinMagFilter 0x7103bf1888
ptr_nvnSamplerBuilderGetWrapMode 0x7103bf1890
ptr_nvnSamplerBuilderGetLodClamp 0x7103bf1898
ptr_nvnSamplerBuilderGetLodBias 0x7103bf18a0
ptr_nvnSamplerBuilderGetCompare 0x7103bf18a8
ptr_nvnSamplerBuilderGetBorderColor 0x7103bf18b0
ptr_nvnSamplerBuilderGetBorderColori 0x7103bf18b8
ptr_nvnSamplerBuilderGetBorderColorui 0x7103bf18c0
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7103bf18c8
ptr_nvnSamplerBuilderGetReductionFilter 0x7103bf18d0
ptr_nvnSamplerBuilderGetLodSnap 0x7103bf18d8
ptr_nvnSamplerInitialize 0x7103bf18e0
ptr_nvnSamplerFinalize 0x7103bf18e8
ptr_nvnSamplerSetDebugLabel 0x7103bf18f0
ptr_nvnSamplerGetMinMagFilter 0x7103bf18f8
ptr_nvnSamplerGetWrapMode 0x7103bf1900
ptr_nvnSamplerGetLodClamp 0x7103bf1908
ptr_nvnSamplerGetLodBias 0x7103bf1910
ptr_nvnSamplerGetCompare 0x7103bf1918
ptr_nvnSamplerGetBorderColor 0x7103bf1920
ptr_nvnSamplerGetBorderColori 0x7103bf1928
ptr_nvnSamplerGetBorderColorui 0x7103bf1930
ptr_nvnSamplerGetMaxAnisotropy 0x7103bf1938
ptr_nvnSamplerGetReductionFilter 0x7103bf1940
ptr_nvnSamplerCompare 0x7103bf1948
ptr_nvnSamplerGetDebugID 0x7103bf1950
ptr_nvnBlendStateSetDefaults 0x7103bf1958
ptr_nvnBlendStateSetBlendTarget 0x7103bf1960
ptr_nvnBlendStateSetBlendFunc 0x7103bf1968
ptr_nvnBlendStateSetBlendEquation 0x7103bf1970
ptr_nvnBlendStateSetAdvancedMode 0x7103bf1978
ptr_nvnBlendStateSetAdvancedOverlap 0x7103bf1980
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7103bf1988
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7103bf1990
ptr_nvnBlendStateGetBlendTarget 0x7103bf1998
ptr_nvnBlendStateGetBlendFunc 0x7103bf19a0
ptr_nvnBlendStateGetBlendEquation 0x7103bf19a8
ptr_nvnBlendStateGetAdvancedMode 0x7103bf19b0
ptr_nvnBlendStateGetAdvancedOverlap 0x7103bf19b8
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7103bf19c0
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7103bf19c8
ptr_nvnColorStateSetDefaults 0x7103bf19d0
ptr_nvnColorStateSetBlendEnable 0x7103bf19d8
ptr_nvnColorStateSetLogicOp 0x7103bf19e0
ptr_nvnColorStateSetAlphaTest 0x7103bf19e8
ptr_nvnColorStateGetBlendEnable 0x7103bf19f0
ptr_nvnColorStateGetLogicOp 0x7103bf19f8
ptr_nvnColorStateGetAlphaTest 0x7103bf1a00
ptr_nvnChannelMaskStateSetDefaults 0x7103bf1a08
ptr_nvnChannelMaskStateSetChannelMask 0x7103bf1a10
ptr_nvnChannelMaskStateGetChannelMask 0x7103bf1a18
ptr_nvnMultisampleStateSetDefaults 0x7103bf1a20
ptr_nvnMultisampleStateSetMultisampleEnable 0x7103bf1a28
ptr_nvnMultisampleStateSetSamples 0x7103bf1a30
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7103bf1a38
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7103bf1a40
ptr_nvnMultisampleStateGetMultisampleEnable 0x7103bf1a48
ptr_nvnMultisampleStateGetSamples 0x7103bf1a50
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7103bf1a58
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7103bf1a60
ptr_nvnMultisampleStateSetRasterSamples 0x7103bf1a68
ptr_nvnMultisampleStateGetRasterSamples 0x7103bf1a70
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7103bf1a78
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7103bf1a80
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7103bf1a88
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7103bf1a90
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7103bf1a98
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7103bf1aa0
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7103bf1aa8
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7103bf1ab0
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7103bf1ab8
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7103bf1ac0
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7103bf1ac8
ptr_nvnMultisampleStateSetSampleLocations 0x7103bf1ad0
ptr_nvnPolygonStateSetDefaults 0x7103bf1ad8
ptr_nvnPolygonStateSetCullFace 0x7103bf1ae0
ptr_nvnPolygonStateSetFrontFace 0x7103bf1ae8
ptr_nvnPolygonStateSetPolygonMode 0x7103bf1af0
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7103bf1af8
ptr_nvnPolygonStateGetCullFace 0x7103bf1b00
ptr_nvnPolygonStateGetFrontFace 0x7103bf1b08
ptr_nvnPolygonStateGetPolygonMode 0x7103bf1b10
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7103bf1b18
ptr_nvnDepthStencilStateSetDefaults 0x7103bf1b20
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7103bf1b28
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7103bf1b30
ptr_nvnDepthStencilStateSetDepthFunc 0x7103bf1b38
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7103bf1b40
ptr_nvnDepthStencilStateSetStencilFunc 0x7103bf1b48
ptr_nvnDepthStencilStateSetStencilOp 0x7103bf1b50
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7103bf1b58
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7103bf1b60
ptr_nvnDepthStencilStateGetDepthFunc 0x7103bf1b68
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7103bf1b70
ptr_nvnDepthStencilStateGetStencilFunc 0x7103bf1b78
ptr_nvnDepthStencilStateGetStencilOp 0x7103bf1b80
ptr_nvnVertexAttribStateSetDefaults 0x7103bf1b88
ptr_nvnVertexAttribStateSetFormat 0x7103bf1b90
ptr_nvnVertexAttribStateSetStreamIndex 0x7103bf1b98
ptr_nvnVertexAttribStateGetFormat 0x7103bf1ba0
ptr_nvnVertexAttribStateGetStreamIndex 0x7103bf1ba8
ptr_nvnVertexStreamStateSetDefaults 0x7103bf1bb0
ptr_nvnVertexStreamStateSetStride 0x7103bf1bb8
ptr_nvnVertexStreamStateSetDivisor 0x7103bf1bc0
ptr_nvnVertexStreamStateGetStride 0x7103bf1bc8
ptr_nvnVertexStreamStateGetDivisor 0x7103bf1bd0
ptr_nvnCommandBufferInitialize 0x7103bf1bd8
ptr_nvnCommandBufferFinalize 0x7103bf1be0
ptr_nvnCommandBufferSetDebugLabel 0x7103bf1be8
ptr_nvnCommandBufferSetMemoryCallback 0x7103bf1bf0
ptr_nvnCommandBufferSetMemoryCallbackData 0x7103bf1bf8
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7103bf1c00
ptr_nvnCommandBufferAddCommandMemory 0x7103bf1c08
ptr_nvnCommandBufferAddControlMemory 0x7103bf1c10
ptr_nvnCommandBufferGetCommandMemorySize 0x7103bf1c18
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7103bf1c20
ptr_nvnCommandBufferGetCommandMemoryFree 0x7103bf1c28
ptr_nvnCommandBufferGetControlMemorySize 0x7103bf1c30
ptr_nvnCommandBufferGetControlMemoryUsed 0x7103bf1c38
ptr_nvnCommandBufferGetControlMemoryFree 0x7103bf1c40
ptr_nvnCommandBufferBeginRecording 0x7103bf1c48
ptr_nvnCommandBufferEndRecording 0x7103bf1c50
ptr_nvnCommandBufferCallCommands 0x7103bf1c58
ptr_nvnCommandBufferCopyCommands 0x7103bf1c60
ptr_nvnCommandBufferBindBlendState 0x7103bf1c68
ptr_nvnCommandBufferBindChannelMaskState 0x7103bf1c70
ptr_nvnCommandBufferBindColorState 0x7103bf1c78
ptr_nvnCommandBufferBindMultisampleState 0x7103bf1c80
ptr_nvnCommandBufferBindPolygonState 0x7103bf1c88
ptr_nvnCommandBufferBindDepthStencilState 0x7103bf1c90
ptr_nvnCommandBufferBindVertexAttribState 0x7103bf1c98
ptr_nvnCommandBufferBindVertexStreamState 0x7103bf1ca0
ptr_nvnCommandBufferBindProgram 0x7103bf1ca8
ptr_nvnCommandBufferBindVertexBuffer 0x7103bf1cb0
ptr_nvnCommandBufferBindVertexBuffers 0x7103bf1cb8
ptr_nvnCommandBufferBindUniformBuffer 0x7103bf1cc0
ptr_nvnCommandBufferBindUniformBuffers 0x7103bf1cc8
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7103bf1cd0
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7103bf1cd8
ptr_nvnCommandBufferBindStorageBuffer 0x7103bf1ce0
ptr_nvnCommandBufferBindStorageBuffers 0x7103bf1ce8
ptr_nvnCommandBufferBindTexture 0x7103bf1cf0
ptr_nvnCommandBufferBindTextures 0x7103bf1cf8
ptr_nvnCommandBufferBindImage 0x7103bf1d00
ptr_nvnCommandBufferBindImages 0x7103bf1d08
ptr_nvnCommandBufferSetPatchSize 0x7103bf1d10
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7103bf1d18
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7103bf1d20
ptr_nvnCommandBufferSetPrimitiveRestart 0x7103bf1d28
ptr_nvnCommandBufferBeginTransformFeedback 0x7103bf1d30
ptr_nvnCommandBufferEndTransformFeedback 0x7103bf1d38
ptr_nvnCommandBufferPauseTransformFeedback 0x7103bf1d40
ptr_nvnCommandBufferResumeTransformFeedback 0x7103bf1d48
ptr_nvnCommandBufferDrawTransformFeedback 0x7103bf1d50
ptr_nvnCommandBufferDrawArrays 0x7103bf1d58
ptr_nvnCommandBufferDrawElements 0x7103bf1d60
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7103bf1d68
ptr_nvnCommandBufferDrawArraysInstanced 0x7103bf1d70
ptr_nvnCommandBufferDrawElementsInstanced 0x7103bf1d78
ptr_nvnCommandBufferDrawArraysIndirect 0x7103bf1d80
ptr_nvnCommandBufferDrawElementsIndirect 0x7103bf1d88
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7103bf1d90
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7103bf1d98
ptr_nvnCommandBufferClearColor 0x7103bf1da0
ptr_nvnCommandBufferClearColori 0x7103bf1da8
ptr_nvnCommandBufferClearColorui 0x7103bf1db0
ptr_nvnCommandBufferClearDepthStencil 0x7103bf1db8
ptr_nvnCommandBufferDispatchCompute 0x7103bf1dc0
ptr_nvnCommandBufferDispatchComputeIndirect 0x7103bf1dc8
ptr_nvnCommandBufferSetViewport 0x7103bf1dd0
ptr_nvnCommandBufferSetViewports 0x7103bf1dd8
ptr_nvnCommandBufferSetViewportSwizzles 0x7103bf1de0
ptr_nvnCommandBufferSetScissor 0x7103bf1de8
ptr_nvnCommandBufferSetScissors 0x7103bf1df0
ptr_nvnCommandBufferSetDepthRange 0x7103bf1df8
ptr_nvnCommandBufferSetDepthBounds 0x7103bf1e00
ptr_nvnCommandBufferSetDepthRanges 0x7103bf1e08
ptr_nvnCommandBufferSetTiledCacheAction 0x7103bf1e10
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7103bf1e18
ptr_nvnCommandBufferBindSeparateTexture 0x7103bf1e20
ptr_nvnCommandBufferBindSeparateSampler 0x7103bf1e28
ptr_nvnCommandBufferBindSeparateTextures 0x7103bf1e30
ptr_nvnCommandBufferBindSeparateSamplers 0x7103bf1e38
ptr_nvnCommandBufferSetStencilValueMask 0x7103bf1e40
ptr_nvnCommandBufferSetStencilMask 0x7103bf1e48
ptr_nvnCommandBufferSetStencilRef 0x7103bf1e50
ptr_nvnCommandBufferSetBlendColor 0x7103bf1e58
ptr_nvnCommandBufferSetPointSize 0x7103bf1e60
ptr_nvnCommandBufferSetLineWidth 0x7103bf1e68
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7103bf1e70
ptr_nvnCommandBufferSetAlphaRef 0x7103bf1e78
ptr_nvnCommandBufferSetSampleMask 0x7103bf1e80
ptr_nvnCommandBufferSetRasterizerDiscard 0x7103bf1e88
ptr_nvnCommandBufferSetDepthClamp 0x7103bf1e90
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7103bf1e98
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7103bf1ea0
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7103bf1ea8
ptr_nvnCommandBufferCopyBufferToTexture 0x7103bf1eb0
ptr_nvnCommandBufferCopyTextureToBuffer 0x7103bf1eb8
ptr_nvnCommandBufferCopyTextureToTexture 0x7103bf1ec0
