ptr_nvnDeviceBuilderSetDefaults 0x7104c7ed38
ptr_nvnQueueBuilderGetMemory 0x7104c7eee0
ptr_nvnQueueInitialize 0x7104c7eee8
ptr_nvnQueueFinalize 0x7104c7eef0
ptr_nvnQueueSetDebugLabel 0x7104c7eef8
ptr_nvnQueueSubmitCommands 0x7104c7ef00
ptr_nvnQueueFlush 0x7104c7ef08
ptr_nvnQueueFinish 0x7104c7ef10
ptr_nvnQueuePresentTexture 0x7104c7ef18
ptr_nvnQueueAcquireTexture 0x7104c7ef20
ptr_nvnWindowBuilderSetDevice 0x7104c7ef28
ptr_nvnWindowBuilderSetDefaults 0x7104c7ef30
ptr_nvnWindowBuilderSetNativeWindow 0x7104c7ef38
ptr_nvnWindowBuilderSetTextures 0x7104c7ef40
ptr_nvnWindowBuilderSetPresentInterval 0x7104c7ef48
ptr_nvnWindowBuilderSetNumActiveTextures 0x7104c7ef50
ptr_nvnWindowBuilderGetDevice 0x7104c7ef58
ptr_nvnWindowBuilderGetNumTextures 0x7104c7ef60
ptr_nvnWindowBuilderGetTexture 0x7104c7ef68
ptr_nvnWindowBuilderGetNativeWindow 0x7104c7ef70
ptr_nvnWindowBuilderGetPresentInterval 0x7104c7ef78
ptr_nvnWindowBuilderGetNumActiveTextures 0x7104c7ef80
ptr_nvnWindowInitialize 0x7104c7ef88
ptr_nvnWindowFinalize 0x7104c7ef90
ptr_nvnWindowSetDebugLabel 0x7104c7ef98
ptr_nvnWindowAcquireTexture 0x7104c7efa0
ptr_nvnWindowGetNativeWindow 0x7104c7efa8
ptr_nvnWindowGetPresentInterval 0x7104c7efb0
ptr_nvnWindowSetPresentInterval 0x7104c7efb8
ptr_nvnWindowSetCrop 0x7104c7efc0
ptr_nvnWindowGetCrop 0x7104c7efc8
ptr_nvnWindowSetNumActiveTextures 0x7104c7efd0
ptr_nvnWindowGetNumActiveTextures 0x7104c7efd8
ptr_nvnWindowGetNumTextures 0x7104c7efe0
ptr_nvnProgramInitialize 0x7104c7efe8
ptr_nvnProgramFinalize 0x7104c7eff0
ptr_nvnProgramSetDebugLabel 0x7104c7eff8
ptr_nvnProgramSetShaders 0x7104c7f000
ptr_nvnProgramSetShadersExt 0x7104c7f008
ptr_nvnProgramSetSampleShading 0x7104c7f010
ptr_nvnMemoryPoolBuilderSetDevice 0x7104c7f018
ptr_nvnMemoryPoolBuilderSetDefaults 0x7104c7f020
ptr_nvnMemoryPoolBuilderSetStorage 0x7104c7f028
ptr_nvnMemoryPoolBuilderSetFlags 0x7104c7f030
ptr_nvnMemoryPoolBuilderGetDevice 0x7104c7f038
ptr_nvnMemoryPoolBuilderGetMemory 0x7104c7f040
ptr_nvnMemoryPoolBuilderGetSize 0x7104c7f048
ptr_nvnMemoryPoolBuilderGetFlags 0x7104c7f050
ptr_nvnMemoryPoolInitialize 0x7104c7f058
ptr_nvnMemoryPoolSetDebugLabel 0x7104c7f060
ptr_nvnMemoryPoolFinalize 0x7104c7f068
ptr_nvnMemoryPoolMap 0x7104c7f070
ptr_nvnMemoryPoolFlushMappedRange 0x7104c7f078
ptr_nvnMemoryPoolInvalidateMappedRange 0x7104c7f080
ptr_nvnMemoryPoolGetBufferAddress 0x7104c7f088
ptr_nvnMemoryPoolMapVirtual 0x7104c7f090
ptr_nvnMemoryPoolGetSize 0x7104c7f098
ptr_nvnMemoryPoolGetFlags 0x7104c7f0a0
ptr_nvnTexturePoolInitialize 0x7104c7f0a8
ptr_nvnTexturePoolSetDebugLabel 0x7104c7f0b0
ptr_nvnTexturePoolFinalize 0x7104c7f0b8
ptr_nvnTexturePoolRegisterTexture 0x7104c7f0c0
ptr_nvnTexturePoolRegisterImage 0x7104c7f0c8
ptr_nvnTexturePoolGetMemoryPool 0x7104c7f0d0
ptr_nvnTexturePoolGetMemoryOffset 0x7104c7f0d8
ptr_nvnTexturePoolGetSize 0x7104c7f0e0
ptr_nvnSamplerPoolInitialize 0x7104c7f0e8
ptr_nvnSamplerPoolSetDebugLabel 0x7104c7f0f0
ptr_nvnSamplerPoolFinalize 0x7104c7f0f8
ptr_nvnSamplerPoolRegisterSampler 0x7104c7f100
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7104c7f108
ptr_nvnSamplerPoolGetMemoryPool 0x7104c7f110
ptr_nvnSamplerPoolGetMemoryOffset 0x7104c7f118
ptr_nvnSamplerPoolGetSize 0x7104c7f120
ptr_nvnBufferBuilderSetDevice 0x7104c7f128
ptr_nvnBufferBuilderSetDefaults 0x7104c7f130
ptr_nvnBufferBuilderSetStorage 0x7104c7f138
ptr_nvnBufferBuilderGetDevice 0x7104c7f140
ptr_nvnBufferBuilderGetMemoryPool 0x7104c7f148
ptr_nvnBufferBuilderGetMemoryOffset 0x7104c7f150
ptr_nvnBufferBuilderGetSize 0x7104c7f158
ptr_nvnBufferInitialize 0x7104c7f160
ptr_nvnBufferSetDebugLabel 0x7104c7f168
ptr_nvnBufferFinalize 0x7104c7f170
ptr_nvnBufferMap 0x7104c7f178
ptr_nvnBufferGetAddress 0x7104c7f180
ptr_nvnBufferFlushMappedRange 0x7104c7f188
ptr_nvnBufferInvalidateMappedRange 0x7104c7f190
ptr_nvnBufferGetMemoryPool 0x7104c7f198
ptr_nvnBufferGetMemoryOffset 0x7104c7f1a0
ptr_nvnBufferGetSize 0x7104c7f1a8
ptr_nvnBufferGetDebugID 0x7104c7f1b0
ptr_nvnTextureBuilderSetDevice 0x7104c7f1b8
ptr_nvnTextureBuilderSetDefaults 0x7104c7f1c0
ptr_nvnTextureBuilderSetFlags 0x7104c7f1c8
ptr_nvnTextureBuilderSetTarget 0x7104c7f1d0
ptr_nvnTextureBuilderSetWidth 0x7104c7f1d8
ptr_nvnTextureBuilderSetHeight 0x7104c7f1e0
ptr_nvnTextureBuilderSetDepth 0x7104c7f1e8
ptr_nvnTextureBuilderSetSize1D 0x7104c7f1f0
ptr_nvnTextureBuilderSetSize2D 0x7104c7f1f8
ptr_nvnTextureBuilderSetSize3D 0x7104c7f200
ptr_nvnTextureBuilderSetLevels 0x7104c7f208
ptr_nvnTextureBuilderSetFormat 0x7104c7f210
ptr_nvnTextureBuilderSetSamples 0x7104c7f218
ptr_nvnTextureBuilderSetSwizzle 0x7104c7f220
ptr_nvnTextureBuilderSetDepthStencilMode 0x7104c7f228
ptr_nvnTextureBuilderGetStorageSize 0x7104c7f230
ptr_nvnTextureBuilderGetStorageAlignment 0x7104c7f238
ptr_nvnTextureBuilderSetStorage 0x7104c7f240
ptr_nvnTextureBuilderSetPackagedTextureData 0x7104c7f248
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7104c7f250
ptr_nvnTextureBuilderSetStride 0x7104c7f258
ptr_nvnTextureBuilderSetGLTextureName 0x7104c7f260
ptr_nvnTextureBuilderGetStorageClass 0x7104c7f268
ptr_nvnTextureBuilderGetDevice 0x7104c7f270
ptr_nvnTextureBuilderGetFlags 0x7104c7f278
ptr_nvnTextureBuilderGetTarget 0x7104c7f280
ptr_nvnTextureBuilderGetWidth 0x7104c7f288
ptr_nvnTextureBuilderGetHeight 0x7104c7f290
ptr_nvnTextureBuilderGetDepth 0x7104c7f298
ptr_nvnTextureBuilderGetLevels 0x7104c7f2a0
ptr_nvnTextureBuilderGetFormat 0x7104c7f2a8
ptr_nvnTextureBuilderGetSamples 0x7104c7f2b0
ptr_nvnTextureBuilderGetSwizzle 0x7104c7f2b8
ptr_nvnTextureBuilderGetDepthStencilMode 0x7104c7f2c0
ptr_nvnTextureBuilderGetPackagedTextureData 0x7104c7f2c8
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7104c7f2d0
ptr_nvnTextureBuilderGetStride 0x7104c7f2d8
ptr_nvnTextureBuilderGetSparseTileLayout 0x7104c7f2e0
ptr_nvnTextureBuilderGetGLTextureName 0x7104c7f2e8
ptr_nvnTextureBuilderGetZCullStorageSize 0x7104c7f2f0
ptr_nvnTextureBuilderGetMemoryPool 0x7104c7f2f8
ptr_nvnTextureBuilderGetMemoryOffset 0x7104c7f300
ptr_nvnTextureBuilderGetRawStorageClass 0x7104c7f308
ptr_nvnTextureViewSetDefaults 0x7104c7f310
ptr_nvnTextureViewSetLevels 0x7104c7f318
ptr_nvnTextureViewSetLayers 0x7104c7f320
ptr_nvnTextureViewSetFormat 0x7104c7f328
ptr_nvnTextureViewSetSwizzle 0x7104c7f330
ptr_nvnTextureViewSetDepthStencilMode 0x7104c7f338
ptr_nvnTextureViewSetTarget 0x7104c7f340
ptr_nvnTextureViewGetLevels 0x7104c7f348
ptr_nvnTextureViewGetLayers 0x7104c7f350
ptr_nvnTextureViewGetFormat 0x7104c7f358
ptr_nvnTextureViewGetSwizzle 0x7104c7f360
ptr_nvnTextureViewGetDepthStencilMode 0x7104c7f368
ptr_nvnTextureViewGetTarget 0x7104c7f370
ptr_nvnTextureViewCompare 0x7104c7f378
ptr_nvnTextureInitialize 0x7104c7f380
ptr_nvnTextureGetZCullStorageSize 0x7104c7f388
ptr_nvnTextureFinalize 0x7104c7f390
ptr_nvnTextureSetDebugLabel 0x7104c7f398
ptr_nvnTextureGetStorageClass 0x7104c7f3a0
ptr_nvnTextureGetViewOffset 0x7104c7f3a8
ptr_nvnTextureGetFlags 0x7104c7f3b0
ptr_nvnTextureGetTarget 0x7104c7f3b8
ptr_nvnTextureGetWidth 0x7104c7f3c0
ptr_nvnTextureGetHeight 0x7104c7f3c8
ptr_nvnTextureGetDepth 0x7104c7f3d0
ptr_nvnTextureGetLevels 0x7104c7f3d8
ptr_nvnTextureGetFormat 0x7104c7f3e0
ptr_nvnTextureGetSamples 0x7104c7f3e8
ptr_nvnTextureGetSwizzle 0x7104c7f3f0
ptr_nvnTextureGetDepthStencilMode 0x7104c7f3f8
ptr_nvnTextureGetStride 0x7104c7f400
ptr_nvnTextureGetTextureAddress 0x7104c7f408
ptr_nvnTextureGetSparseTileLayout 0x7104c7f410
ptr_nvnTextureWriteTexels 0x7104c7f418
ptr_nvnTextureWriteTexelsStrided 0x7104c7f420
ptr_nvnTextureReadTexels 0x7104c7f428
ptr_nvnTextureReadTexelsStrided 0x7104c7f430
ptr_nvnTextureFlushTexels 0x7104c7f438
ptr_nvnTextureInvalidateTexels 0x7104c7f440
ptr_nvnTextureGetMemoryPool 0x7104c7f448
ptr_nvnTextureGetMemoryOffset 0x7104c7f450
ptr_nvnTextureGetStorageSize 0x7104c7f458
ptr_nvnTextureCompare 0x7104c7f460
ptr_nvnTextureGetDebugID 0x7104c7f468
ptr_nvnTextureGetRawStorageClass 0x7104c7f470
ptr_nvnSamplerBuilderSetDevice 0x7104c7f478
ptr_nvnSamplerBuilderSetDefaults 0x7104c7f480
ptr_nvnSamplerBuilderSetMinMagFilter 0x7104c7f488
ptr_nvnSamplerBuilderSetWrapMode 0x7104c7f490
ptr_nvnSamplerBuilderSetLodClamp 0x7104c7f498
ptr_nvnSamplerBuilderSetLodBias 0x7104c7f4a0
ptr_nvnSamplerBuilderSetCompare 0x7104c7f4a8
ptr_nvnSamplerBuilderSetBorderColor 0x7104c7f4b0
ptr_nvnSamplerBuilderSetBorderColori 0x7104c7f4b8
ptr_nvnSamplerBuilderSetBorderColorui 0x7104c7f4c0
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7104c7f4c8
ptr_nvnSamplerBuilderSetReductionFilter 0x7104c7f4d0
ptr_nvnSamplerBuilderSetLodSnap 0x7104c7f4d8
ptr_nvnSamplerBuilderGetDevice 0x7104c7f4e0
ptr_nvnSamplerBuilderGetMinMagFilter 0x7104c7f4e8
ptr_nvnSamplerBuilderGetWrapMode 0x7104c7f4f0
ptr_nvnSamplerBuilderGetLodClamp 0x7104c7f4f8
ptr_nvnSamplerBuilderGetLodBias 0x7104c7f500
ptr_nvnSamplerBuilderGetCompare 0x7104c7f508
ptr_nvnSamplerBuilderGetBorderColor 0x7104c7f510
ptr_nvnSamplerBuilderGetBorderColori 0x7104c7f518
ptr_nvnSamplerBuilderGetBorderColorui 0x7104c7f520
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7104c7f528
ptr_nvnSamplerBuilderGetReductionFilter 0x7104c7f530
ptr_nvnSamplerBuilderGetLodSnap 0x7104c7f538
ptr_nvnSamplerInitialize 0x7104c7f540
ptr_nvnSamplerFinalize 0x7104c7f548
ptr_nvnSamplerSetDebugLabel 0x7104c7f550
ptr_nvnSamplerGetMinMagFilter 0x7104c7f558
ptr_nvnSamplerGetWrapMode 0x7104c7f560
ptr_nvnSamplerGetLodClamp 0x7104c7f568
ptr_nvnSamplerGetLodBias 0x7104c7f570
ptr_nvnSamplerGetCompare 0x7104c7f578
ptr_nvnSamplerGetBorderColor 0x7104c7f580
ptr_nvnSamplerGetBorderColori 0x7104c7f588
ptr_nvnSamplerGetBorderColorui 0x7104c7f590
ptr_nvnSamplerGetMaxAnisotropy 0x7104c7f598
ptr_nvnSamplerGetReductionFilter 0x7104c7f5a0
ptr_nvnSamplerCompare 0x7104c7f5a8
ptr_nvnSamplerGetDebugID 0x7104c7f5b0
ptr_nvnBlendStateSetDefaults 0x7104c7f5b8
ptr_nvnBlendStateSetBlendTarget 0x7104c7f5c0
ptr_nvnBlendStateSetBlendFunc 0x7104c7f5c8
ptr_nvnBlendStateSetBlendEquation 0x7104c7f5d0
ptr_nvnBlendStateSetAdvancedMode 0x7104c7f5d8
ptr_nvnBlendStateSetAdvancedOverlap 0x7104c7f5e0
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7104c7f5e8
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7104c7f5f0
ptr_nvnBlendStateGetBlendTarget 0x7104c7f5f8
ptr_nvnBlendStateGetBlendFunc 0x7104c7f600
ptr_nvnBlendStateGetBlendEquation 0x7104c7f608
ptr_nvnBlendStateGetAdvancedMode 0x7104c7f610
ptr_nvnBlendStateGetAdvancedOverlap 0x7104c7f618
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7104c7f620
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7104c7f628
ptr_nvnColorStateSetDefaults 0x7104c7f630
ptr_nvnColorStateSetBlendEnable 0x7104c7f638
ptr_nvnColorStateSetLogicOp 0x7104c7f640
ptr_nvnColorStateSetAlphaTest 0x7104c7f648
ptr_nvnColorStateGetBlendEnable 0x7104c7f650
ptr_nvnColorStateGetLogicOp 0x7104c7f658
ptr_nvnColorStateGetAlphaTest 0x7104c7f660
ptr_nvnChannelMaskStateSetDefaults 0x7104c7f668
ptr_nvnChannelMaskStateSetChannelMask 0x7104c7f670
ptr_nvnChannelMaskStateGetChannelMask 0x7104c7f678
ptr_nvnMultisampleStateSetDefaults 0x7104c7f680
ptr_nvnMultisampleStateSetMultisampleEnable 0x7104c7f688
ptr_nvnMultisampleStateSetSamples 0x7104c7f690
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7104c7f698
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7104c7f6a0
ptr_nvnMultisampleStateGetMultisampleEnable 0x7104c7f6a8
ptr_nvnMultisampleStateGetSamples 0x7104c7f6b0
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7104c7f6b8
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7104c7f6c0
ptr_nvnMultisampleStateSetRasterSamples 0x7104c7f6c8
ptr_nvnMultisampleStateGetRasterSamples 0x7104c7f6d0
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7104c7f6d8
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7104c7f6e0
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7104c7f6e8
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7104c7f6f0
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7104c7f6f8
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7104c7f700
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7104c7f708
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7104c7f710
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7104c7f718
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7104c7f720
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7104c7f728
ptr_nvnMultisampleStateSetSampleLocations 0x7104c7f730
ptr_nvnPolygonStateSetDefaults 0x7104c7f738
ptr_nvnPolygonStateSetCullFace 0x7104c7f740
ptr_nvnPolygonStateSetFrontFace 0x7104c7f748
ptr_nvnPolygonStateSetPolygonMode 0x7104c7f750
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7104c7f758
ptr_nvnPolygonStateGetCullFace 0x7104c7f760
ptr_nvnPolygonStateGetFrontFace 0x7104c7f768
ptr_nvnPolygonStateGetPolygonMode 0x7104c7f770
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7104c7f778
ptr_nvnDepthStencilStateSetDefaults 0x7104c7f780
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7104c7f788
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7104c7f790
ptr_nvnDepthStencilStateSetDepthFunc 0x7104c7f798
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7104c7f7a0
ptr_nvnDepthStencilStateSetStencilFunc 0x7104c7f7a8
ptr_nvnDepthStencilStateSetStencilOp 0x7104c7f7b0
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7104c7f7b8
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7104c7f7c0
ptr_nvnDepthStencilStateGetDepthFunc 0x7104c7f7c8
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7104c7f7d0
ptr_nvnDepthStencilStateGetStencilFunc 0x7104c7f7d8
ptr_nvnDepthStencilStateGetStencilOp 0x7104c7f7e0
ptr_nvnVertexAttribStateSetDefaults 0x7104c7f7e8
ptr_nvnVertexAttribStateSetFormat 0x7104c7f7f0
ptr_nvnVertexAttribStateSetStreamIndex 0x7104c7f7f8
ptr_nvnVertexAttribStateGetFormat 0x7104c7f800
ptr_nvnVertexAttribStateGetStreamIndex 0x7104c7f808
ptr_nvnVertexStreamStateSetDefaults 0x7104c7f810
ptr_nvnVertexStreamStateSetStride 0x7104c7f818
ptr_nvnVertexStreamStateSetDivisor 0x7104c7f820
ptr_nvnVertexStreamStateGetStride 0x7104c7f828
ptr_nvnVertexStreamStateGetDivisor 0x7104c7f830
ptr_nvnCommandBufferInitialize 0x7104c7f838
ptr_nvnCommandBufferFinalize 0x7104c7f840
ptr_nvnCommandBufferSetDebugLabel 0x7104c7f848
ptr_nvnCommandBufferSetMemoryCallback 0x7104c7f850
ptr_nvnCommandBufferSetMemoryCallbackData 0x7104c7f858
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7104c7f860
ptr_nvnCommandBufferAddCommandMemory 0x7104c7f868
ptr_nvnCommandBufferAddControlMemory 0x7104c7f870
ptr_nvnCommandBufferGetCommandMemorySize 0x7104c7f878
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7104c7f880
ptr_nvnCommandBufferGetCommandMemoryFree 0x7104c7f888
ptr_nvnCommandBufferGetControlMemorySize 0x7104c7f890
ptr_nvnCommandBufferGetControlMemoryUsed 0x7104c7f898
ptr_nvnCommandBufferGetControlMemoryFree 0x7104c7f8a0
ptr_nvnCommandBufferBeginRecording 0x7104c7f8a8
ptr_nvnCommandBufferEndRecording 0x7104c7f8b0
ptr_nvnCommandBufferCallCommands 0x7104c7f8b8
ptr_nvnCommandBufferCopyCommands 0x7104c7f8c0
ptr_nvnCommandBufferBindBlendState 0x7104c7f8c8
ptr_nvnCommandBufferBindChannelMaskState 0x7104c7f8d0
ptr_nvnCommandBufferBindColorState 0x7104c7f8d8
ptr_nvnCommandBufferBindMultisampleState 0x7104c7f8e0
ptr_nvnCommandBufferBindPolygonState 0x7104c7f8e8
ptr_nvnCommandBufferBindDepthStencilState 0x7104c7f8f0
ptr_nvnCommandBufferBindVertexAttribState 0x7104c7f8f8
ptr_nvnCommandBufferBindVertexStreamState 0x7104c7f900
ptr_nvnCommandBufferBindProgram 0x7104c7f908
ptr_nvnCommandBufferBindVertexBuffer 0x7104c7f910
ptr_nvnCommandBufferBindVertexBuffers 0x7104c7f918
ptr_nvnCommandBufferBindUniformBuffer 0x7104c7f920
ptr_nvnCommandBufferBindUniformBuffers 0x7104c7f928
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7104c7f930
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7104c7f938
ptr_nvnCommandBufferBindStorageBuffer 0x7104c7f940
ptr_nvnCommandBufferBindStorageBuffers 0x7104c7f948
ptr_nvnCommandBufferBindTexture 0x7104c7f950
ptr_nvnCommandBufferBindTextures 0x7104c7f958
ptr_nvnCommandBufferBindImage 0x7104c7f960
ptr_nvnCommandBufferBindImages 0x7104c7f968
ptr_nvnCommandBufferSetPatchSize 0x7104c7f970
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7104c7f978
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7104c7f980
ptr_nvnCommandBufferSetPrimitiveRestart 0x7104c7f988
ptr_nvnCommandBufferBeginTransformFeedback 0x7104c7f990
ptr_nvnCommandBufferEndTransformFeedback 0x7104c7f998
ptr_nvnCommandBufferPauseTransformFeedback 0x7104c7f9a0
ptr_nvnCommandBufferResumeTransformFeedback 0x7104c7f9a8
ptr_nvnCommandBufferDrawTransformFeedback 0x7104c7f9b0
ptr_nvnCommandBufferDrawArrays 0x7104c7f9b8
ptr_nvnCommandBufferDrawElements 0x7104c7f9c0
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7104c7f9c8
ptr_nvnCommandBufferDrawArraysInstanced 0x7104c7f9d0
ptr_nvnCommandBufferDrawElementsInstanced 0x7104c7f9d8
ptr_nvnCommandBufferDrawArraysIndirect 0x7104c7f9e0
ptr_nvnCommandBufferDrawElementsIndirect 0x7104c7f9e8
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7104c7f9f0
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7104c7f9f8
ptr_nvnCommandBufferClearColor 0x7104c7fa00
ptr_nvnCommandBufferClearColori 0x7104c7fa08
ptr_nvnCommandBufferClearColorui 0x7104c7fa10
ptr_nvnCommandBufferClearDepthStencil 0x7104c7fa18
ptr_nvnCommandBufferDispatchCompute 0x7104c7fa20
ptr_nvnCommandBufferDispatchComputeIndirect 0x7104c7fa28
ptr_nvnCommandBufferSetViewport 0x7104c7fa30
ptr_nvnCommandBufferSetViewports 0x7104c7fa38
ptr_nvnCommandBufferSetViewportSwizzles 0x7104c7fa40
ptr_nvnCommandBufferSetScissor 0x7104c7fa48
ptr_nvnCommandBufferSetScissors 0x7104c7fa50
ptr_nvnCommandBufferSetDepthRange 0x7104c7fa58
ptr_nvnCommandBufferSetDepthBounds 0x7104c7fa60
ptr_nvnCommandBufferSetDepthRanges 0x7104c7fa68
ptr_nvnCommandBufferSetTiledCacheAction 0x7104c7fa70
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7104c7fa78
ptr_nvnCommandBufferBindSeparateTexture 0x7104c7fa80
ptr_nvnCommandBufferBindSeparateSampler 0x7104c7fa88
ptr_nvnCommandBufferBindSeparateTextures 0x7104c7fa90
ptr_nvnCommandBufferBindSeparateSamplers 0x7104c7fa98
ptr_nvnCommandBufferSetStencilValueMask 0x7104c7faa0
ptr_nvnCommandBufferSetStencilMask 0x7104c7faa8
ptr_nvnCommandBufferSetStencilRef 0x7104c7fab0
ptr_nvnCommandBufferSetBlendColor 0x7104c7fab8
ptr_nvnCommandBufferSetPointSize 0x7104c7fac0
ptr_nvnCommandBufferSetLineWidth 0x7104c7fac8
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7104c7fad0
ptr_nvnCommandBufferSetAlphaRef 0x7104c7fad8
ptr_nvnCommandBufferSetSampleMask 0x7104c7fae0
ptr_nvnCommandBufferSetRasterizerDiscard 0x7104c7fae8
ptr_nvnCommandBufferSetDepthClamp 0x7104c7faf0
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7104c7faf8
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7104c7fb00
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7104c7fb08
ptr_nvnCommandBufferCopyBufferToTexture 0x7104c7fb10
ptr_nvnCommandBufferCopyTextureToBuffer 0x7104c7fb18
