ptr_nvnDeviceBuilderSetDefaults 0x7104de1c40
ptr_nvnMemoryPoolInvalidateMappedRange 0x7104de1f88
ptr_nvnMemoryPoolGetBufferAddress 0x7104de1f90
ptr_nvnMemoryPoolMapVirtual 0x7104de1f98
ptr_nvnMemoryPoolGetSize 0x7104de1fa0
ptr_nvnMemoryPoolGetFlags 0x7104de1fa8
ptr_nvnTexturePoolInitialize 0x7104de1fb0
ptr_nvnTexturePoolSetDebugLabel 0x7104de1fb8
ptr_nvnTexturePoolFinalize 0x7104de1fc0
ptr_nvnTexturePoolRegisterTexture 0x7104de1fc8
ptr_nvnTexturePoolRegisterImage 0x7104de1fd0
ptr_nvnTexturePoolGetMemoryPool 0x7104de1fd8
ptr_nvnTexturePoolGetMemoryOffset 0x7104de1fe0
ptr_nvnTexturePoolGetSize 0x7104de1fe8
ptr_nvnSamplerPoolInitialize 0x7104de1ff0
ptr_nvnSamplerPoolSetDebugLabel 0x7104de1ff8
ptr_nvnSamplerPoolFinalize 0x7104de2000
ptr_nvnSamplerPoolRegisterSampler 0x7104de2008
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7104de2010
ptr_nvnSamplerPoolGetMemoryPool 0x7104de2018
ptr_nvnSamplerPoolGetMemoryOffset 0x7104de2020
ptr_nvnSamplerPoolGetSize 0x7104de2028
ptr_nvnBufferBuilderSetDevice 0x7104de2030
ptr_nvnBufferBuilderSetDefaults 0x7104de2038
ptr_nvnBufferBuilderSetStorage 0x7104de2040
ptr_nvnBufferBuilderGetDevice 0x7104de2048
ptr_nvnBufferBuilderGetMemoryPool 0x7104de2050
ptr_nvnBufferBuilderGetMemoryOffset 0x7104de2058
ptr_nvnBufferBuilderGetSize 0x7104de2060
ptr_nvnBufferInitialize 0x7104de2068
ptr_nvnBufferSetDebugLabel 0x7104de2070
ptr_nvnBufferFinalize 0x7104de2078
ptr_nvnBufferMap 0x7104de2080
ptr_nvnBufferGetAddress 0x7104de2088
ptr_nvnBufferFlushMappedRange 0x7104de2090
ptr_nvnBufferInvalidateMappedRange 0x7104de2098
ptr_nvnBufferGetMemoryPool 0x7104de20a0
ptr_nvnBufferGetMemoryOffset 0x7104de20a8
ptr_nvnBufferGetSize 0x7104de20b0
ptr_nvnBufferGetDebugID 0x7104de20b8
ptr_nvnTextureBuilderSetDevice 0x7104de20c0
ptr_nvnTextureBuilderSetDefaults 0x7104de20c8
ptr_nvnTextureBuilderSetFlags 0x7104de20d0
ptr_nvnTextureBuilderSetTarget 0x7104de20d8
ptr_nvnTextureBuilderSetWidth 0x7104de20e0
ptr_nvnTextureBuilderSetHeight 0x7104de20e8
ptr_nvnTextureBuilderSetDepth 0x7104de20f0
ptr_nvnTextureBuilderSetSize1D 0x7104de20f8
ptr_nvnTextureBuilderSetSize2D 0x7104de2100
ptr_nvnTextureBuilderSetSize3D 0x7104de2108
ptr_nvnTextureBuilderSetLevels 0x7104de2110
ptr_nvnTextureBuilderSetFormat 0x7104de2118
ptr_nvnTextureBuilderSetSamples 0x7104de2120
ptr_nvnTextureBuilderSetSwizzle 0x7104de2128
ptr_nvnTextureBuilderSetDepthStencilMode 0x7104de2130
ptr_nvnTextureBuilderGetStorageSize 0x7104de2138
ptr_nvnTextureBuilderGetStorageAlignment 0x7104de2140
ptr_nvnTextureBuilderSetStorage 0x7104de2148
ptr_nvnTextureBuilderSetPackagedTextureData 0x7104de2150
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7104de2158
ptr_nvnTextureBuilderSetStride 0x7104de2160
ptr_nvnTextureBuilderSetGLTextureName 0x7104de2168
ptr_nvnTextureBuilderGetStorageClass 0x7104de2170
ptr_nvnTextureBuilderGetDevice 0x7104de2178
ptr_nvnTextureBuilderGetFlags 0x7104de2180
ptr_nvnTextureBuilderGetTarget 0x7104de2188
ptr_nvnTextureBuilderGetWidth 0x7104de2190
ptr_nvnTextureBuilderGetHeight 0x7104de2198
ptr_nvnTextureBuilderGetDepth 0x7104de21a0
ptr_nvnTextureBuilderGetLevels 0x7104de21a8
ptr_nvnTextureBuilderGetFormat 0x7104de21b0
ptr_nvnTextureBuilderGetSamples 0x7104de21b8
ptr_nvnTextureBuilderGetSwizzle 0x7104de21c0
ptr_nvnTextureBuilderGetDepthStencilMode 0x7104de21c8
ptr_nvnTextureBuilderGetPackagedTextureData 0x7104de21d0
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7104de21d8
ptr_nvnTextureBuilderGetStride 0x7104de21e0
ptr_nvnTextureBuilderGetSparseTileLayout 0x7104de21e8
ptr_nvnTextureBuilderGetGLTextureName 0x7104de21f0
ptr_nvnTextureBuilderGetZCullStorageSize 0x7104de21f8
ptr_nvnTextureBuilderGetMemoryPool 0x7104de2200
ptr_nvnTextureBuilderGetMemoryOffset 0x7104de2208
ptr_nvnTextureBuilderGetRawStorageClass 0x7104de2210
ptr_nvnTextureViewSetDefaults 0x7104de2218
ptr_nvnTextureViewSetLevels 0x7104de2220
ptr_nvnTextureViewSetLayers 0x7104de2228
ptr_nvnTextureViewSetFormat 0x7104de2230
ptr_nvnTextureViewSetSwizzle 0x7104de2238
ptr_nvnTextureViewSetDepthStencilMode 0x7104de2240
ptr_nvnTextureViewSetTarget 0x7104de2248
ptr_nvnTextureViewGetLevels 0x7104de2250
ptr_nvnTextureViewGetLayers 0x7104de2258
ptr_nvnTextureViewGetFormat 0x7104de2260
ptr_nvnTextureViewGetSwizzle 0x7104de2268
ptr_nvnTextureViewGetDepthStencilMode 0x7104de2270
ptr_nvnTextureViewGetTarget 0x7104de2278
ptr_nvnTextureViewCompare 0x7104de2280
ptr_nvnTextureInitialize 0x7104de2288
ptr_nvnTextureGetZCullStorageSize 0x7104de2290
ptr_nvnTextureFinalize 0x7104de2298
ptr_nvnTextureSetDebugLabel 0x7104de22a0
ptr_nvnTextureGetStorageClass 0x7104de22a8
ptr_nvnTextureGetViewOffset 0x7104de22b0
ptr_nvnTextureGetFlags 0x7104de22b8
ptr_nvnTextureGetTarget 0x7104de22c0
ptr_nvnTextureGetWidth 0x7104de22c8
ptr_nvnTextureGetHeight 0x7104de22d0
ptr_nvnTextureGetDepth 0x7104de22d8
ptr_nvnTextureGetLevels 0x7104de22e0
ptr_nvnTextureGetFormat 0x7104de22e8
ptr_nvnTextureGetSamples 0x7104de22f0
ptr_nvnTextureGetSwizzle 0x7104de22f8
ptr_nvnTextureGetDepthStencilMode 0x7104de2300
ptr_nvnTextureGetStride 0x7104de2308
ptr_nvnTextureGetTextureAddress 0x7104de2310
ptr_nvnTextureGetSparseTileLayout 0x7104de2318
ptr_nvnTextureWriteTexels 0x7104de2320
ptr_nvnTextureWriteTexelsStrided 0x7104de2328
ptr_nvnTextureReadTexels 0x7104de2330
ptr_nvnTextureReadTexelsStrided 0x7104de2338
ptr_nvnTextureFlushTexels 0x7104de2340
ptr_nvnTextureInvalidateTexels 0x7104de2348
ptr_nvnTextureGetMemoryPool 0x7104de2350
ptr_nvnTextureGetMemoryOffset 0x7104de2358
ptr_nvnTextureGetStorageSize 0x7104de2360
ptr_nvnTextureCompare 0x7104de2368
ptr_nvnTextureGetDebugID 0x7104de2370
ptr_nvnTextureGetRawStorageClass 0x7104de2378
ptr_nvnSamplerBuilderSetDevice 0x7104de2380
ptr_nvnSamplerBuilderSetDefaults 0x7104de2388
ptr_nvnSamplerBuilderSetMinMagFilter 0x7104de2390
ptr_nvnSamplerBuilderSetWrapMode 0x7104de2398
ptr_nvnSamplerBuilderSetLodClamp 0x7104de23a0
ptr_nvnSamplerBuilderSetLodBias 0x7104de23a8
ptr_nvnSamplerBuilderSetCompare 0x7104de23b0
ptr_nvnSamplerBuilderSetBorderColor 0x7104de23b8
ptr_nvnSamplerBuilderSetBorderColori 0x7104de23c0
ptr_nvnSamplerBuilderSetBorderColorui 0x7104de23c8
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7104de23d0
ptr_nvnSamplerBuilderSetReductionFilter 0x7104de23d8
ptr_nvnSamplerBuilderSetLodSnap 0x7104de23e0
ptr_nvnSamplerBuilderGetDevice 0x7104de23e8
ptr_nvnSamplerBuilderGetMinMagFilter 0x7104de23f0
ptr_nvnSamplerBuilderGetWrapMode 0x7104de23f8
ptr_nvnSamplerBuilderGetLodClamp 0x7104de2400
ptr_nvnSamplerBuilderGetLodBias 0x7104de2408
ptr_nvnSamplerBuilderGetCompare 0x7104de2410
ptr_nvnSamplerBuilderGetBorderColor 0x7104de2418
ptr_nvnSamplerBuilderGetBorderColori 0x7104de2420
ptr_nvnSamplerBuilderGetBorderColorui 0x7104de2428
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7104de2430
ptr_nvnSamplerBuilderGetReductionFilter 0x7104de2438
ptr_nvnSamplerBuilderGetLodSnap 0x7104de2440
ptr_nvnSamplerInitialize 0x7104de2448
ptr_nvnSamplerFinalize 0x7104de2450
ptr_nvnSamplerSetDebugLabel 0x7104de2458
ptr_nvnSamplerGetMinMagFilter 0x7104de2460
ptr_nvnSamplerGetWrapMode 0x7104de2468
ptr_nvnSamplerGetLodClamp 0x7104de2470
ptr_nvnSamplerGetLodBias 0x7104de2478
ptr_nvnSamplerGetCompare 0x7104de2480
ptr_nvnSamplerGetBorderColor 0x7104de2488
ptr_nvnSamplerGetBorderColori 0x7104de2490
ptr_nvnSamplerGetBorderColorui 0x7104de2498
ptr_nvnSamplerGetMaxAnisotropy 0x7104de24a0
ptr_nvnSamplerGetReductionFilter 0x7104de24a8
ptr_nvnSamplerCompare 0x7104de24b0
ptr_nvnSamplerGetDebugID 0x7104de24b8
ptr_nvnBlendStateSetDefaults 0x7104de24c0
ptr_nvnBlendStateSetBlendTarget 0x7104de24c8
ptr_nvnBlendStateSetBlendFunc 0x7104de24d0
ptr_nvnBlendStateSetBlendEquation 0x7104de24d8
ptr_nvnBlendStateSetAdvancedMode 0x7104de24e0
ptr_nvnBlendStateSetAdvancedOverlap 0x7104de24e8
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7104de24f0
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7104de24f8
ptr_nvnBlendStateGetBlendTarget 0x7104de2500
ptr_nvnBlendStateGetBlendFunc 0x7104de2508
ptr_nvnBlendStateGetBlendEquation 0x7104de2510
ptr_nvnBlendStateGetAdvancedMode 0x7104de2518
ptr_nvnBlendStateGetAdvancedOverlap 0x7104de2520
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7104de2528
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7104de2530
ptr_nvnColorStateSetDefaults 0x7104de2538
ptr_nvnColorStateSetBlendEnable 0x7104de2540
ptr_nvnColorStateSetLogicOp 0x7104de2548
ptr_nvnColorStateSetAlphaTest 0x7104de2550
ptr_nvnColorStateGetBlendEnable 0x7104de2558
ptr_nvnColorStateGetLogicOp 0x7104de2560
ptr_nvnColorStateGetAlphaTest 0x7104de2568
ptr_nvnChannelMaskStateSetDefaults 0x7104de2570
ptr_nvnChannelMaskStateSetChannelMask 0x7104de2578
ptr_nvnChannelMaskStateGetChannelMask 0x7104de2580
ptr_nvnMultisampleStateSetDefaults 0x7104de2588
ptr_nvnMultisampleStateSetMultisampleEnable 0x7104de2590
ptr_nvnMultisampleStateSetSamples 0x7104de2598
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7104de25a0
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7104de25a8
ptr_nvnMultisampleStateGetMultisampleEnable 0x7104de25b0
ptr_nvnMultisampleStateGetSamples 0x7104de25b8
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7104de25c0
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7104de25c8
ptr_nvnMultisampleStateSetRasterSamples 0x7104de25d0
ptr_nvnMultisampleStateGetRasterSamples 0x7104de25d8
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7104de25e0
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7104de25e8
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7104de25f0
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7104de25f8
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7104de2600
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7104de2608
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7104de2610
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7104de2618
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7104de2620
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7104de2628
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7104de2630
ptr_nvnMultisampleStateSetSampleLocations 0x7104de2638
ptr_nvnPolygonStateSetDefaults 0x7104de2640
ptr_nvnPolygonStateSetCullFace 0x7104de2648
ptr_nvnPolygonStateSetFrontFace 0x7104de2650
ptr_nvnPolygonStateSetPolygonMode 0x7104de2658
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7104de2660
ptr_nvnPolygonStateGetCullFace 0x7104de2668
ptr_nvnPolygonStateGetFrontFace 0x7104de2670
ptr_nvnPolygonStateGetPolygonMode 0x7104de2678
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7104de2680
ptr_nvnDepthStencilStateSetDefaults 0x7104de2688
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7104de2690
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7104de2698
ptr_nvnDepthStencilStateSetDepthFunc 0x7104de26a0
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7104de26a8
ptr_nvnDepthStencilStateSetStencilFunc 0x7104de26b0
ptr_nvnDepthStencilStateSetStencilOp 0x7104de26b8
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7104de26c0
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7104de26c8
ptr_nvnDepthStencilStateGetDepthFunc 0x7104de26d0
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7104de26d8
ptr_nvnDepthStencilStateGetStencilFunc 0x7104de26e0
ptr_nvnDepthStencilStateGetStencilOp 0x7104de26e8
ptr_nvnVertexAttribStateSetDefaults 0x7104de26f0
ptr_nvnVertexAttribStateSetFormat 0x7104de26f8
ptr_nvnVertexAttribStateSetStreamIndex 0x7104de2700
ptr_nvnVertexAttribStateGetFormat 0x7104de2708
ptr_nvnVertexAttribStateGetStreamIndex 0x7104de2710
ptr_nvnVertexStreamStateSetDefaults 0x7104de2718
ptr_nvnVertexStreamStateSetStride 0x7104de2720
ptr_nvnVertexStreamStateSetDivisor 0x7104de2728
ptr_nvnVertexStreamStateGetStride 0x7104de2730
ptr_nvnVertexStreamStateGetDivisor 0x7104de2738
ptr_nvnCommandBufferInitialize 0x7104de2740
ptr_nvnCommandBufferFinalize 0x7104de2748
ptr_nvnCommandBufferSetDebugLabel 0x7104de2750
ptr_nvnCommandBufferSetMemoryCallback 0x7104de2758
ptr_nvnCommandBufferSetMemoryCallbackData 0x7104de2760
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7104de2768
ptr_nvnCommandBufferAddCommandMemory 0x7104de2770
ptr_nvnCommandBufferAddControlMemory 0x7104de2778
ptr_nvnCommandBufferGetCommandMemorySize 0x7104de2780
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7104de2788
ptr_nvnCommandBufferGetCommandMemoryFree 0x7104de2790
ptr_nvnCommandBufferGetControlMemorySize 0x7104de2798
ptr_nvnCommandBufferGetControlMemoryUsed 0x7104de27a0
ptr_nvnCommandBufferGetControlMemoryFree 0x7104de27a8
ptr_nvnCommandBufferBeginRecording 0x7104de27b0
ptr_nvnCommandBufferEndRecording 0x7104de27b8
ptr_nvnCommandBufferCallCommands 0x7104de27c0
ptr_nvnCommandBufferCopyCommands 0x7104de27c8
ptr_nvnCommandBufferBindBlendState 0x7104de27d0
ptr_nvnCommandBufferBindChannelMaskState 0x7104de27d8
ptr_nvnCommandBufferBindColorState 0x7104de27e0
ptr_nvnCommandBufferBindMultisampleState 0x7104de27e8
ptr_nvnCommandBufferBindPolygonState 0x7104de27f0
ptr_nvnCommandBufferBindDepthStencilState 0x7104de27f8
ptr_nvnCommandBufferBindVertexAttribState 0x7104de2800
ptr_nvnCommandBufferBindVertexStreamState 0x7104de2808
ptr_nvnCommandBufferBindProgram 0x7104de2810
ptr_nvnCommandBufferBindVertexBuffer 0x7104de2818
ptr_nvnCommandBufferBindVertexBuffers 0x7104de2820
ptr_nvnCommandBufferBindUniformBuffer 0x7104de2828
ptr_nvnCommandBufferBindUniformBuffers 0x7104de2830
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7104de2838
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7104de2840
ptr_nvnCommandBufferBindStorageBuffer 0x7104de2848
ptr_nvnCommandBufferBindStorageBuffers 0x7104de2850
ptr_nvnCommandBufferBindTexture 0x7104de2858
ptr_nvnCommandBufferBindTextures 0x7104de2860
ptr_nvnCommandBufferBindImage 0x7104de2868
ptr_nvnCommandBufferBindImages 0x7104de2870
ptr_nvnCommandBufferSetPatchSize 0x7104de2878
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7104de2880
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7104de2888
ptr_nvnCommandBufferSetPrimitiveRestart 0x7104de2890
ptr_nvnCommandBufferBeginTransformFeedback 0x7104de2898
ptr_nvnCommandBufferEndTransformFeedback 0x7104de28a0
ptr_nvnCommandBufferPauseTransformFeedback 0x7104de28a8
ptr_nvnCommandBufferResumeTransformFeedback 0x7104de28b0
ptr_nvnCommandBufferDrawTransformFeedback 0x7104de28b8
ptr_nvnCommandBufferDrawArrays 0x7104de28c0
ptr_nvnCommandBufferDrawElements 0x7104de28c8
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7104de28d0
ptr_nvnCommandBufferDrawArraysInstanced 0x7104de28d8
ptr_nvnCommandBufferDrawElementsInstanced 0x7104de28e0
ptr_nvnCommandBufferDrawArraysIndirect 0x7104de28e8
ptr_nvnCommandBufferDrawElementsIndirect 0x7104de28f0
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7104de28f8
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7104de2900
ptr_nvnCommandBufferClearColor 0x7104de2908
ptr_nvnCommandBufferClearColori 0x7104de2910
ptr_nvnCommandBufferClearColorui 0x7104de2918
ptr_nvnCommandBufferClearDepthStencil 0x7104de2920
ptr_nvnCommandBufferDispatchCompute 0x7104de2928
ptr_nvnCommandBufferDispatchComputeIndirect 0x7104de2930
ptr_nvnCommandBufferSetViewport 0x7104de2938
ptr_nvnCommandBufferSetViewports 0x7104de2940
ptr_nvnCommandBufferSetViewportSwizzles 0x7104de2948
ptr_nvnCommandBufferSetScissor 0x7104de2950
ptr_nvnCommandBufferSetScissors 0x7104de2958
ptr_nvnCommandBufferSetDepthRange 0x7104de2960
ptr_nvnCommandBufferSetDepthBounds 0x7104de2968
ptr_nvnCommandBufferSetDepthRanges 0x7104de2970
ptr_nvnCommandBufferSetTiledCacheAction 0x7104de2978
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7104de2980
ptr_nvnCommandBufferBindSeparateTexture 0x7104de2988
ptr_nvnCommandBufferBindSeparateSampler 0x7104de2990
ptr_nvnCommandBufferBindSeparateTextures 0x7104de2998
ptr_nvnCommandBufferBindSeparateSamplers 0x7104de29a0
ptr_nvnCommandBufferSetStencilValueMask 0x7104de29a8
ptr_nvnCommandBufferSetStencilMask 0x7104de29b0
ptr_nvnCommandBufferSetStencilRef 0x7104de29b8
ptr_nvnCommandBufferSetBlendColor 0x7104de29c0
ptr_nvnCommandBufferSetPointSize 0x7104de29c8
ptr_nvnCommandBufferSetLineWidth 0x7104de29d0
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7104de29d8
ptr_nvnCommandBufferSetAlphaRef 0x7104de29e0
ptr_nvnCommandBufferSetSampleMask 0x7104de29e8
ptr_nvnCommandBufferSetRasterizerDiscard 0x7104de29f0
ptr_nvnCommandBufferSetDepthClamp 0x7104de29f8
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7104de2a00
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7104de2a08
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7104de2a10
ptr_nvnCommandBufferCopyBufferToTexture 0x7104de2a18
ptr_nvnCommandBufferCopyTextureToBuffer 0x7104de2a20
ptr_nvnCommandBufferCopyTextureToTexture 0x7104de2a28
ptr_nvnCommandBufferCopyBufferToBuffer 0x7104de2a30
ptr_nvnCommandBufferClearBuffer 0x7104de2a38
ptr_nvnCommandBufferClearTexture 0x7104de2a40
ptr_nvnCommandBufferClearTexturei 0x7104de2a48
ptr_nvnCommandBufferClearTextureui 0x7104de2a50
ptr_nvnCommandBufferUpdateUniformBuffer 0x7104de2a58
ptr_nvnCommandBufferReportCounter 0x7104de2a60
ptr_nvnCommandBufferResetCounter 0x7104de2a68
ptr_nvnCommandBufferReportValue 0x7104de2a70
ptr_nvnCommandBufferSetRenderEnable 0x7104de2a78
ptr_nvnCommandBufferSetRenderEnableConditional 0x7104de2a80
ptr_nvnCommandBufferSetRenderTargets 0x7104de2a88
ptr_nvnCommandBufferDiscardColor 0x7104de2a90
ptr_nvnCommandBufferDiscardDepthStencil 0x7104de2a98
ptr_nvnCommandBufferDownsample 0x7104de2aa0
ptr_nvnCommandBufferTiledDownsample 0x7104de2aa8
