ptr_nvnDeviceBuilderSetDefaults 0x7101de8130
ptr_nvnSamplerPoolGetMemoryOffset 0x7101de8510
ptr_nvnSamplerPoolGetSize 0x7101de8518
ptr_nvnBufferBuilderSetDevice 0x7101de8520
ptr_nvnBufferBuilderSetDefaults 0x7101de8528
ptr_nvnBufferBuilderSetStorage 0x7101de8530
ptr_nvnBufferBuilderGetDevice 0x7101de8538
ptr_nvnBufferBuilderGetMemoryPool 0x7101de8540
ptr_nvnBufferBuilderGetMemoryOffset 0x7101de8548
ptr_nvnBufferBuilderGetSize 0x7101de8550
ptr_nvnBufferInitialize 0x7101de8558
ptr_nvnBufferSetDebugLabel 0x7101de8560
ptr_nvnBufferFinalize 0x7101de8568
ptr_nvnBufferMap 0x7101de8570
ptr_nvnBufferGetAddress 0x7101de8578
ptr_nvnBufferFlushMappedRange 0x7101de8580
ptr_nvnBufferInvalidateMappedRange 0x7101de8588
ptr_nvnBufferGetMemoryPool 0x7101de8590
ptr_nvnBufferGetMemoryOffset 0x7101de8598
ptr_nvnBufferGetSize 0x7101de85a0
ptr_nvnBufferGetDebugID 0x7101de85a8
ptr_nvnTextureBuilderSetDevice 0x7101de85b0
ptr_nvnTextureBuilderSetDefaults 0x7101de85b8
ptr_nvnTextureBuilderSetFlags 0x7101de85c0
ptr_nvnTextureBuilderSetTarget 0x7101de85c8
ptr_nvnTextureBuilderSetWidth 0x7101de85d0
ptr_nvnTextureBuilderSetHeight 0x7101de85d8
ptr_nvnTextureBuilderSetDepth 0x7101de85e0
ptr_nvnTextureBuilderSetSize1D 0x7101de85e8
ptr_nvnTextureBuilderSetSize2D 0x7101de85f0
ptr_nvnTextureBuilderSetSize3D 0x7101de85f8
ptr_nvnTextureBuilderSetLevels 0x7101de8600
ptr_nvnTextureBuilderSetFormat 0x7101de8608
ptr_nvnTextureBuilderSetSamples 0x7101de8610
ptr_nvnTextureBuilderSetSwizzle 0x7101de8618
ptr_nvnTextureBuilderSetDepthStencilMode 0x7101de8620
ptr_nvnTextureBuilderGetStorageSize 0x7101de8628
ptr_nvnTextureBuilderGetStorageAlignment 0x7101de8630
ptr_nvnTextureBuilderSetStorage 0x7101de8638
ptr_nvnTextureBuilderSetPackagedTextureData 0x7101de8640
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7101de8648
ptr_nvnTextureBuilderSetStride 0x7101de8650
ptr_nvnTextureBuilderSetGLTextureName 0x7101de8658
ptr_nvnTextureBuilderGetStorageClass 0x7101de8660
ptr_nvnTextureBuilderGetDevice 0x7101de8668
ptr_nvnTextureBuilderGetFlags 0x7101de8670
ptr_nvnTextureBuilderGetTarget 0x7101de8678
ptr_nvnTextureBuilderGetWidth 0x7101de8680
ptr_nvnTextureBuilderGetHeight 0x7101de8688
ptr_nvnTextureBuilderGetDepth 0x7101de8690
ptr_nvnTextureBuilderGetLevels 0x7101de8698
ptr_nvnTextureBuilderGetFormat 0x7101de86a0
ptr_nvnTextureBuilderGetSamples 0x7101de86a8
ptr_nvnTextureBuilderGetSwizzle 0x7101de86b0
ptr_nvnTextureBuilderGetDepthStencilMode 0x7101de86b8
ptr_nvnTextureBuilderGetPackagedTextureData 0x7101de86c0
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7101de86c8
ptr_nvnTextureBuilderGetStride 0x7101de86d0
ptr_nvnTextureBuilderGetSparseTileLayout 0x7101de86d8
ptr_nvnTextureBuilderGetGLTextureName 0x7101de86e0
ptr_nvnTextureBuilderGetZCullStorageSize 0x7101de86e8
ptr_nvnTextureBuilderGetMemoryPool 0x7101de86f0
ptr_nvnTextureBuilderGetMemoryOffset 0x7101de86f8
ptr_nvnTextureBuilderGetRawStorageClass 0x7101de8700
ptr_nvnTextureViewSetDefaults 0x7101de8708
ptr_nvnTextureViewSetLevels 0x7101de8710
ptr_nvnTextureViewSetLayers 0x7101de8718
ptr_nvnTextureViewSetFormat 0x7101de8720
ptr_nvnTextureViewSetSwizzle 0x7101de8728
ptr_nvnTextureViewSetDepthStencilMode 0x7101de8730
ptr_nvnTextureViewSetTarget 0x7101de8738
ptr_nvnTextureViewGetLevels 0x7101de8740
ptr_nvnTextureViewGetLayers 0x7101de8748
ptr_nvnTextureViewGetFormat 0x7101de8750
ptr_nvnTextureViewGetSwizzle 0x7101de8758
ptr_nvnTextureViewGetDepthStencilMode 0x7101de8760
ptr_nvnTextureViewGetTarget 0x7101de8768
ptr_nvnTextureViewCompare 0x7101de8770
ptr_nvnTextureInitialize 0x7101de8778
ptr_nvnTextureGetZCullStorageSize 0x7101de8780
ptr_nvnTextureFinalize 0x7101de8788
ptr_nvnTextureSetDebugLabel 0x7101de8790
ptr_nvnTextureGetStorageClass 0x7101de8798
ptr_nvnTextureGetViewOffset 0x7101de87a0
ptr_nvnTextureGetFlags 0x7101de87a8
ptr_nvnTextureGetTarget 0x7101de87b0
ptr_nvnTextureGetWidth 0x7101de87b8
ptr_nvnTextureGetHeight 0x7101de87c0
ptr_nvnTextureGetDepth 0x7101de87c8
ptr_nvnTextureGetLevels 0x7101de87d0
ptr_nvnTextureGetFormat 0x7101de87d8
ptr_nvnTextureGetSamples 0x7101de87e0
ptr_nvnTextureGetSwizzle 0x7101de87e8
ptr_nvnTextureGetDepthStencilMode 0x7101de87f0
ptr_nvnTextureGetStride 0x7101de87f8
ptr_nvnTextureGetTextureAddress 0x7101de8800
ptr_nvnTextureGetSparseTileLayout 0x7101de8808
ptr_nvnTextureWriteTexels 0x7101de8810
ptr_nvnTextureWriteTexelsStrided 0x7101de8818
ptr_nvnTextureReadTexels 0x7101de8820
ptr_nvnTextureReadTexelsStrided 0x7101de8828
ptr_nvnTextureFlushTexels 0x7101de8830
ptr_nvnTextureInvalidateTexels 0x7101de8838
ptr_nvnTextureGetMemoryPool 0x7101de8840
ptr_nvnTextureGetMemoryOffset 0x7101de8848
ptr_nvnTextureGetStorageSize 0x7101de8850
ptr_nvnTextureCompare 0x7101de8858
ptr_nvnTextureGetDebugID 0x7101de8860
ptr_nvnTextureGetRawStorageClass 0x7101de8868
ptr_nvnSamplerBuilderSetDevice 0x7101de8870
ptr_nvnSamplerBuilderSetDefaults 0x7101de8878
ptr_nvnSamplerBuilderSetMinMagFilter 0x7101de8880
ptr_nvnSamplerBuilderSetWrapMode 0x7101de8888
ptr_nvnSamplerBuilderSetLodClamp 0x7101de8890
ptr_nvnSamplerBuilderSetLodBias 0x7101de8898
ptr_nvnSamplerBuilderSetCompare 0x7101de88a0
ptr_nvnSamplerBuilderSetBorderColor 0x7101de88a8
ptr_nvnSamplerBuilderSetBorderColori 0x7101de88b0
ptr_nvnSamplerBuilderSetBorderColorui 0x7101de88b8
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7101de88c0
ptr_nvnSamplerBuilderSetReductionFilter 0x7101de88c8
ptr_nvnSamplerBuilderSetLodSnap 0x7101de88d0
ptr_nvnSamplerBuilderGetDevice 0x7101de88d8
ptr_nvnSamplerBuilderGetMinMagFilter 0x7101de88e0
ptr_nvnSamplerBuilderGetWrapMode 0x7101de88e8
ptr_nvnSamplerBuilderGetLodClamp 0x7101de88f0
ptr_nvnSamplerBuilderGetLodBias 0x7101de88f8
ptr_nvnSamplerBuilderGetCompare 0x7101de8900
ptr_nvnSamplerBuilderGetBorderColor 0x7101de8908
ptr_nvnSamplerBuilderGetBorderColori 0x7101de8910
ptr_nvnSamplerBuilderGetBorderColorui 0x7101de8918
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7101de8920
ptr_nvnSamplerBuilderGetReductionFilter 0x7101de8928
ptr_nvnSamplerBuilderGetLodSnap 0x7101de8930
ptr_nvnSamplerInitialize 0x7101de8938
ptr_nvnSamplerFinalize 0x7101de8940
ptr_nvnSamplerSetDebugLabel 0x7101de8948
ptr_nvnSamplerGetMinMagFilter 0x7101de8950
ptr_nvnSamplerGetWrapMode 0x7101de8958
ptr_nvnSamplerGetLodClamp 0x7101de8960
ptr_nvnSamplerGetLodBias 0x7101de8968
ptr_nvnSamplerGetCompare 0x7101de8970
ptr_nvnSamplerGetBorderColor 0x7101de8978
ptr_nvnSamplerGetBorderColori 0x7101de8980
ptr_nvnSamplerGetBorderColorui 0x7101de8988
ptr_nvnSamplerGetMaxAnisotropy 0x7101de8990
ptr_nvnSamplerGetReductionFilter 0x7101de8998
ptr_nvnSamplerCompare 0x7101de89a0
ptr_nvnSamplerGetDebugID 0x7101de89a8
ptr_nvnBlendStateSetDefaults 0x7101de89b0
ptr_nvnBlendStateSetBlendTarget 0x7101de89b8
ptr_nvnBlendStateSetBlendFunc 0x7101de89c0
ptr_nvnBlendStateSetBlendEquation 0x7101de89c8
ptr_nvnBlendStateSetAdvancedMode 0x7101de89d0
ptr_nvnBlendStateSetAdvancedOverlap 0x7101de89d8
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7101de89e0
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7101de89e8
ptr_nvnBlendStateGetBlendTarget 0x7101de89f0
ptr_nvnBlendStateGetBlendFunc 0x7101de89f8
ptr_nvnBlendStateGetBlendEquation 0x7101de8a00
ptr_nvnBlendStateGetAdvancedMode 0x7101de8a08
ptr_nvnBlendStateGetAdvancedOverlap 0x7101de8a10
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7101de8a18
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7101de8a20
ptr_nvnColorStateSetDefaults 0x7101de8a28
ptr_nvnColorStateSetBlendEnable 0x7101de8a30
ptr_nvnColorStateSetLogicOp 0x7101de8a38
ptr_nvnColorStateSetAlphaTest 0x7101de8a40
ptr_nvnColorStateGetBlendEnable 0x7101de8a48
ptr_nvnColorStateGetLogicOp 0x7101de8a50
ptr_nvnColorStateGetAlphaTest 0x7101de8a58
ptr_nvnChannelMaskStateSetDefaults 0x7101de8a60
ptr_nvnChannelMaskStateSetChannelMask 0x7101de8a68
ptr_nvnChannelMaskStateGetChannelMask 0x7101de8a70
ptr_nvnMultisampleStateSetDefaults 0x7101de8a78
ptr_nvnMultisampleStateSetMultisampleEnable 0x7101de8a80
ptr_nvnMultisampleStateSetSamples 0x7101de8a88
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7101de8a90
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7101de8a98
ptr_nvnMultisampleStateGetMultisampleEnable 0x7101de8aa0
ptr_nvnMultisampleStateGetSamples 0x7101de8aa8
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7101de8ab0
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7101de8ab8
ptr_nvnMultisampleStateSetRasterSamples 0x7101de8ac0
ptr_nvnMultisampleStateGetRasterSamples 0x7101de8ac8
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7101de8ad0
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7101de8ad8
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7101de8ae0
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7101de8ae8
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7101de8af0
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7101de8af8
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7101de8b00
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7101de8b08
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7101de8b10
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7101de8b18
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7101de8b20
ptr_nvnMultisampleStateSetSampleLocations 0x7101de8b28
ptr_nvnPolygonStateSetDefaults 0x7101de8b30
ptr_nvnPolygonStateSetCullFace 0x7101de8b38
ptr_nvnPolygonStateSetFrontFace 0x7101de8b40
ptr_nvnPolygonStateSetPolygonMode 0x7101de8b48
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7101de8b50
ptr_nvnPolygonStateGetCullFace 0x7101de8b58
ptr_nvnPolygonStateGetFrontFace 0x7101de8b60
ptr_nvnPolygonStateGetPolygonMode 0x7101de8b68
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7101de8b70
ptr_nvnDepthStencilStateSetDefaults 0x7101de8b78
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7101de8b80
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7101de8b88
ptr_nvnDepthStencilStateSetDepthFunc 0x7101de8b90
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7101de8b98
ptr_nvnDepthStencilStateSetStencilFunc 0x7101de8ba0
ptr_nvnDepthStencilStateSetStencilOp 0x7101de8ba8
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7101de8bb0
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7101de8bb8
ptr_nvnDepthStencilStateGetDepthFunc 0x7101de8bc0
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7101de8bc8
ptr_nvnDepthStencilStateGetStencilFunc 0x7101de8bd0
ptr_nvnDepthStencilStateGetStencilOp 0x7101de8bd8
ptr_nvnVertexAttribStateSetDefaults 0x7101de8be0
ptr_nvnVertexAttribStateSetFormat 0x7101de8be8
ptr_nvnVertexAttribStateSetStreamIndex 0x7101de8bf0
ptr_nvnVertexAttribStateGetFormat 0x7101de8bf8
ptr_nvnVertexAttribStateGetStreamIndex 0x7101de8c00
ptr_nvnVertexStreamStateSetDefaults 0x7101de8c08
ptr_nvnVertexStreamStateSetStride 0x7101de8c10
ptr_nvnVertexStreamStateSetDivisor 0x7101de8c18
ptr_nvnVertexStreamStateGetStride 0x7101de8c20
ptr_nvnVertexStreamStateGetDivisor 0x7101de8c28
ptr_nvnCommandBufferInitialize 0x7101de8c30
ptr_nvnCommandBufferFinalize 0x7101de8c38
ptr_nvnCommandBufferSetDebugLabel 0x7101de8c40
ptr_nvnCommandBufferSetMemoryCallback 0x7101de8c48
ptr_nvnCommandBufferSetMemoryCallbackData 0x7101de8c50
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7101de8c58
ptr_nvnCommandBufferAddCommandMemory 0x7101de8c60
ptr_nvnCommandBufferAddControlMemory 0x7101de8c68
ptr_nvnCommandBufferGetCommandMemorySize 0x7101de8c70
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7101de8c78
ptr_nvnCommandBufferGetCommandMemoryFree 0x7101de8c80
ptr_nvnCommandBufferGetControlMemorySize 0x7101de8c88
ptr_nvnCommandBufferGetControlMemoryUsed 0x7101de8c90
ptr_nvnCommandBufferGetControlMemoryFree 0x7101de8c98
ptr_nvnCommandBufferBeginRecording 0x7101de8ca0
ptr_nvnCommandBufferEndRecording 0x7101de8ca8
ptr_nvnCommandBufferCallCommands 0x7101de8cb0
ptr_nvnCommandBufferCopyCommands 0x7101de8cb8
ptr_nvnCommandBufferBindBlendState 0x7101de8cc0
ptr_nvnCommandBufferBindChannelMaskState 0x7101de8cc8
ptr_nvnCommandBufferBindColorState 0x7101de8cd0
ptr_nvnCommandBufferBindMultisampleState 0x7101de8cd8
ptr_nvnCommandBufferBindPolygonState 0x7101de8ce0
ptr_nvnCommandBufferBindDepthStencilState 0x7101de8ce8
ptr_nvnCommandBufferBindVertexAttribState 0x7101de8cf0
ptr_nvnCommandBufferBindVertexStreamState 0x7101de8cf8
ptr_nvnCommandBufferBindProgram 0x7101de8d00
ptr_nvnCommandBufferBindVertexBuffer 0x7101de8d08
ptr_nvnCommandBufferBindVertexBuffers 0x7101de8d10
ptr_nvnCommandBufferBindUniformBuffer 0x7101de8d18
ptr_nvnCommandBufferBindUniformBuffers 0x7101de8d20
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7101de8d28
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7101de8d30
ptr_nvnCommandBufferBindStorageBuffer 0x7101de8d38
ptr_nvnCommandBufferBindStorageBuffers 0x7101de8d40
ptr_nvnCommandBufferBindTexture 0x7101de8d48
ptr_nvnCommandBufferBindTextures 0x7101de8d50
ptr_nvnCommandBufferBindImage 0x7101de8d58
ptr_nvnCommandBufferBindImages 0x7101de8d60
ptr_nvnCommandBufferSetPatchSize 0x7101de8d68
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7101de8d70
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7101de8d78
ptr_nvnCommandBufferSetPrimitiveRestart 0x7101de8d80
ptr_nvnCommandBufferBeginTransformFeedback 0x7101de8d88
ptr_nvnCommandBufferEndTransformFeedback 0x7101de8d90
ptr_nvnCommandBufferPauseTransformFeedback 0x7101de8d98
ptr_nvnCommandBufferResumeTransformFeedback 0x7101de8da0
ptr_nvnCommandBufferDrawTransformFeedback 0x7101de8da8
ptr_nvnCommandBufferDrawArrays 0x7101de8db0
ptr_nvnCommandBufferDrawElements 0x7101de8db8
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7101de8dc0
ptr_nvnCommandBufferDrawArraysInstanced 0x7101de8dc8
ptr_nvnCommandBufferDrawElementsInstanced 0x7101de8dd0
ptr_nvnCommandBufferDrawArraysIndirect 0x7101de8dd8
ptr_nvnCommandBufferDrawElementsIndirect 0x7101de8de0
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7101de8de8
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7101de8df0
ptr_nvnCommandBufferClearColor 0x7101de8df8
ptr_nvnCommandBufferClearColori 0x7101de8e00
ptr_nvnCommandBufferClearColorui 0x7101de8e08
ptr_nvnCommandBufferClearDepthStencil 0x7101de8e10
ptr_nvnCommandBufferDispatchCompute 0x7101de8e18
ptr_nvnCommandBufferDispatchComputeIndirect 0x7101de8e20
ptr_nvnCommandBufferSetViewport 0x7101de8e28
ptr_nvnCommandBufferSetViewports 0x7101de8e30
ptr_nvnCommandBufferSetViewportSwizzles 0x7101de8e38
ptr_nvnCommandBufferSetScissor 0x7101de8e40
ptr_nvnCommandBufferSetScissors 0x7101de8e48
ptr_nvnCommandBufferSetDepthRange 0x7101de8e50
ptr_nvnCommandBufferSetDepthBounds 0x7101de8e58
ptr_nvnCommandBufferSetDepthRanges 0x7101de8e60
ptr_nvnCommandBufferSetTiledCacheAction 0x7101de8e68
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7101de8e70
ptr_nvnCommandBufferBindSeparateTexture 0x7101de8e78
ptr_nvnCommandBufferBindSeparateSampler 0x7101de8e80
ptr_nvnCommandBufferBindSeparateTextures 0x7101de8e88
ptr_nvnCommandBufferBindSeparateSamplers 0x7101de8e90
ptr_nvnCommandBufferSetStencilValueMask 0x7101de8e98
ptr_nvnCommandBufferSetStencilMask 0x7101de8ea0
ptr_nvnCommandBufferSetStencilRef 0x7101de8ea8
ptr_nvnCommandBufferSetBlendColor 0x7101de8eb0
ptr_nvnCommandBufferSetPointSize 0x7101de8eb8
ptr_nvnCommandBufferSetLineWidth 0x7101de8ec0
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7101de8ec8
ptr_nvnCommandBufferSetAlphaRef 0x7101de8ed0
ptr_nvnCommandBufferSetSampleMask 0x7101de8ed8
ptr_nvnCommandBufferSetRasterizerDiscard 0x7101de8ee0
ptr_nvnCommandBufferSetDepthClamp 0x7101de8ee8
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7101de8ef0
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7101de8ef8
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7101de8f00
ptr_nvnCommandBufferCopyBufferToTexture 0x7101de8f08
ptr_nvnCommandBufferCopyTextureToBuffer 0x7101de8f10
ptr_nvnCommandBufferCopyTextureToTexture 0x7101de8f18
ptr_nvnCommandBufferCopyBufferToBuffer 0x7101de8f20
ptr_nvnCommandBufferClearBuffer 0x7101de8f28
ptr_nvnCommandBufferClearTexture 0x7101de8f30
ptr_nvnCommandBufferClearTexturei 0x7101de8f38
ptr_nvnCommandBufferClearTextureui 0x7101de8f40
ptr_nvnCommandBufferUpdateUniformBuffer 0x7101de8f48
ptr_nvnCommandBufferReportCounter 0x7101de8f50
ptr_nvnCommandBufferResetCounter 0x7101de8f58
ptr_nvnCommandBufferReportValue 0x7101de8f60
ptr_nvnCommandBufferSetRenderEnable 0x7101de8f68
ptr_nvnCommandBufferSetRenderEnableConditional 0x7101de8f70
ptr_nvnCommandBufferSetRenderTargets 0x7101de8f78
ptr_nvnCommandBufferDiscardColor 0x7101de8f80
ptr_nvnCommandBufferDiscardDepthStencil 0x7101de8f88
ptr_nvnCommandBufferDownsample 0x7101de8f90
