ptr_nvnDeviceBuilderSetDefaults 0x7102d2ee50
ptr_nvnQueueBuilderGetCommandMemorySize 0x7102d2efd0
ptr_nvnQueueBuilderGetComputeMemorySize 0x7102d2efd8
ptr_nvnQueueBuilderGetControlMemorySize 0x7102d2efe0
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7102d2efe8
ptr_nvnQueueBuilderGetMemorySize 0x7102d2eff0
ptr_nvnQueueBuilderGetMemory 0x7102d2eff8
ptr_nvnQueueInitialize 0x7102d2f000
ptr_nvnQueueFinalize 0x7102d2f008
ptr_nvnQueueSetDebugLabel 0x7102d2f010
ptr_nvnQueueSubmitCommands 0x7102d2f018
ptr_nvnQueueFlush 0x7102d2f020
ptr_nvnQueueFinish 0x7102d2f028
ptr_nvnQueuePresentTexture 0x7102d2f030
ptr_nvnQueueAcquireTexture 0x7102d2f038
ptr_nvnWindowBuilderSetDevice 0x7102d2f040
ptr_nvnWindowBuilderSetDefaults 0x7102d2f048
ptr_nvnWindowBuilderSetNativeWindow 0x7102d2f050
ptr_nvnWindowBuilderSetTextures 0x7102d2f058
ptr_nvnWindowBuilderSetPresentInterval 0x7102d2f060
ptr_nvnWindowBuilderSetNumActiveTextures 0x7102d2f068
ptr_nvnWindowBuilderGetDevice 0x7102d2f070
ptr_nvnWindowBuilderGetNumTextures 0x7102d2f078
ptr_nvnWindowBuilderGetTexture 0x7102d2f080
ptr_nvnWindowBuilderGetNativeWindow 0x7102d2f088
ptr_nvnWindowBuilderGetPresentInterval 0x7102d2f090
ptr_nvnWindowBuilderGetNumActiveTextures 0x7102d2f098
ptr_nvnWindowInitialize 0x7102d2f0a0
ptr_nvnWindowFinalize 0x7102d2f0a8
ptr_nvnWindowSetDebugLabel 0x7102d2f0b0
ptr_nvnWindowAcquireTexture 0x7102d2f0b8
ptr_nvnWindowGetNativeWindow 0x7102d2f0c0
ptr_nvnWindowGetPresentInterval 0x7102d2f0c8
ptr_nvnWindowSetPresentInterval 0x7102d2f0d0
ptr_nvnWindowSetCrop 0x7102d2f0d8
ptr_nvnWindowGetCrop 0x7102d2f0e0
ptr_nvnWindowSetNumActiveTextures 0x7102d2f0e8
ptr_nvnWindowGetNumActiveTextures 0x7102d2f0f0
ptr_nvnWindowGetNumTextures 0x7102d2f0f8
ptr_nvnProgramInitialize 0x7102d2f100
ptr_nvnProgramFinalize 0x7102d2f108
ptr_nvnProgramSetDebugLabel 0x7102d2f110
ptr_nvnProgramSetShaders 0x7102d2f118
ptr_nvnProgramSetShadersExt 0x7102d2f120
ptr_nvnProgramSetSampleShading 0x7102d2f128
ptr_nvnMemoryPoolBuilderSetDevice 0x7102d2f130
ptr_nvnMemoryPoolBuilderSetDefaults 0x7102d2f138
ptr_nvnMemoryPoolBuilderSetStorage 0x7102d2f140
ptr_nvnMemoryPoolBuilderSetFlags 0x7102d2f148
ptr_nvnMemoryPoolBuilderGetDevice 0x7102d2f150
ptr_nvnMemoryPoolBuilderGetMemory 0x7102d2f158
ptr_nvnMemoryPoolBuilderGetSize 0x7102d2f160
ptr_nvnMemoryPoolBuilderGetFlags 0x7102d2f168
ptr_nvnMemoryPoolInitialize 0x7102d2f170
ptr_nvnMemoryPoolSetDebugLabel 0x7102d2f178
ptr_nvnMemoryPoolFinalize 0x7102d2f180
ptr_nvnMemoryPoolMap 0x7102d2f188
ptr_nvnMemoryPoolFlushMappedRange 0x7102d2f190
ptr_nvnMemoryPoolInvalidateMappedRange 0x7102d2f198
ptr_nvnMemoryPoolGetBufferAddress 0x7102d2f1a0
ptr_nvnMemoryPoolMapVirtual 0x7102d2f1a8
ptr_nvnMemoryPoolGetSize 0x7102d2f1b0
ptr_nvnMemoryPoolGetFlags 0x7102d2f1b8
ptr_nvnTexturePoolInitialize 0x7102d2f1c0
ptr_nvnTexturePoolSetDebugLabel 0x7102d2f1c8
ptr_nvnTexturePoolFinalize 0x7102d2f1d0
ptr_nvnTexturePoolRegisterTexture 0x7102d2f1d8
ptr_nvnTexturePoolRegisterImage 0x7102d2f1e0
ptr_nvnTexturePoolGetMemoryPool 0x7102d2f1e8
ptr_nvnTexturePoolGetMemoryOffset 0x7102d2f1f0
ptr_nvnTexturePoolGetSize 0x7102d2f1f8
ptr_nvnSamplerPoolInitialize 0x7102d2f200
ptr_nvnSamplerPoolSetDebugLabel 0x7102d2f208
ptr_nvnSamplerPoolFinalize 0x7102d2f210
ptr_nvnSamplerPoolRegisterSampler 0x7102d2f218
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7102d2f220
ptr_nvnSamplerPoolGetMemoryPool 0x7102d2f228
ptr_nvnSamplerPoolGetMemoryOffset 0x7102d2f230
ptr_nvnSamplerPoolGetSize 0x7102d2f238
ptr_nvnBufferBuilderSetDevice 0x7102d2f240
ptr_nvnBufferBuilderSetDefaults 0x7102d2f248
ptr_nvnBufferBuilderSetStorage 0x7102d2f250
ptr_nvnBufferBuilderGetDevice 0x7102d2f258
ptr_nvnBufferBuilderGetMemoryPool 0x7102d2f260
ptr_nvnBufferBuilderGetMemoryOffset 0x7102d2f268
ptr_nvnBufferBuilderGetSize 0x7102d2f270
ptr_nvnBufferInitialize 0x7102d2f278
ptr_nvnBufferSetDebugLabel 0x7102d2f280
ptr_nvnBufferFinalize 0x7102d2f288
ptr_nvnBufferMap 0x7102d2f290
ptr_nvnBufferGetAddress 0x7102d2f298
ptr_nvnBufferFlushMappedRange 0x7102d2f2a0
ptr_nvnBufferInvalidateMappedRange 0x7102d2f2a8
ptr_nvnBufferGetMemoryPool 0x7102d2f2b0
ptr_nvnBufferGetMemoryOffset 0x7102d2f2b8
ptr_nvnBufferGetSize 0x7102d2f2c0
ptr_nvnBufferGetDebugID 0x7102d2f2c8
ptr_nvnTextureBuilderSetDevice 0x7102d2f2d0
ptr_nvnTextureBuilderSetDefaults 0x7102d2f2d8
ptr_nvnTextureBuilderSetFlags 0x7102d2f2e0
ptr_nvnTextureBuilderSetTarget 0x7102d2f2e8
ptr_nvnTextureBuilderSetWidth 0x7102d2f2f0
ptr_nvnTextureBuilderSetHeight 0x7102d2f2f8
ptr_nvnTextureBuilderSetDepth 0x7102d2f300
ptr_nvnTextureBuilderSetSize1D 0x7102d2f308
ptr_nvnTextureBuilderSetSize2D 0x7102d2f310
ptr_nvnTextureBuilderSetSize3D 0x7102d2f318
ptr_nvnTextureBuilderSetLevels 0x7102d2f320
ptr_nvnTextureBuilderSetFormat 0x7102d2f328
ptr_nvnTextureBuilderSetSamples 0x7102d2f330
ptr_nvnTextureBuilderSetSwizzle 0x7102d2f338
ptr_nvnTextureBuilderSetDepthStencilMode 0x7102d2f340
ptr_nvnTextureBuilderGetStorageSize 0x7102d2f348
ptr_nvnTextureBuilderGetStorageAlignment 0x7102d2f350
ptr_nvnTextureBuilderSetStorage 0x7102d2f358
ptr_nvnTextureBuilderSetPackagedTextureData 0x7102d2f360
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7102d2f368
ptr_nvnTextureBuilderSetStride 0x7102d2f370
ptr_nvnTextureBuilderSetGLTextureName 0x7102d2f378
ptr_nvnTextureBuilderGetStorageClass 0x7102d2f380
ptr_nvnTextureBuilderGetDevice 0x7102d2f388
ptr_nvnTextureBuilderGetFlags 0x7102d2f390
ptr_nvnTextureBuilderGetTarget 0x7102d2f398
ptr_nvnTextureBuilderGetWidth 0x7102d2f3a0
ptr_nvnTextureBuilderGetHeight 0x7102d2f3a8
ptr_nvnTextureBuilderGetDepth 0x7102d2f3b0
ptr_nvnTextureBuilderGetLevels 0x7102d2f3b8
ptr_nvnTextureBuilderGetFormat 0x7102d2f3c0
ptr_nvnTextureBuilderGetSamples 0x7102d2f3c8
ptr_nvnTextureBuilderGetSwizzle 0x7102d2f3d0
ptr_nvnTextureBuilderGetDepthStencilMode 0x7102d2f3d8
ptr_nvnTextureBuilderGetPackagedTextureData 0x7102d2f3e0
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x7102d2f3e8
ptr_nvnTextureBuilderGetStride 0x7102d2f3f0
ptr_nvnTextureBuilderGetSparseTileLayout 0x7102d2f3f8
ptr_nvnTextureBuilderGetGLTextureName 0x7102d2f400
ptr_nvnTextureBuilderGetZCullStorageSize 0x7102d2f408
ptr_nvnTextureBuilderGetMemoryPool 0x7102d2f410
ptr_nvnTextureBuilderGetMemoryOffset 0x7102d2f418
ptr_nvnTextureBuilderGetRawStorageClass 0x7102d2f420
ptr_nvnTextureViewSetDefaults 0x7102d2f428
ptr_nvnTextureViewSetLevels 0x7102d2f430
ptr_nvnTextureViewSetLayers 0x7102d2f438
ptr_nvnTextureViewSetFormat 0x7102d2f440
ptr_nvnTextureViewSetSwizzle 0x7102d2f448
ptr_nvnTextureViewSetDepthStencilMode 0x7102d2f450
ptr_nvnTextureViewSetTarget 0x7102d2f458
ptr_nvnTextureViewGetLevels 0x7102d2f460
ptr_nvnTextureViewGetLayers 0x7102d2f468
ptr_nvnTextureViewGetFormat 0x7102d2f470
ptr_nvnTextureViewGetSwizzle 0x7102d2f478
ptr_nvnTextureViewGetDepthStencilMode 0x7102d2f480
ptr_nvnTextureViewGetTarget 0x7102d2f488
ptr_nvnTextureViewCompare 0x7102d2f490
ptr_nvnTextureInitialize 0x7102d2f498
ptr_nvnTextureGetZCullStorageSize 0x7102d2f4a0
ptr_nvnTextureFinalize 0x7102d2f4a8
ptr_nvnTextureSetDebugLabel 0x7102d2f4b0
ptr_nvnTextureGetStorageClass 0x7102d2f4b8
ptr_nvnTextureGetViewOffset 0x7102d2f4c0
ptr_nvnTextureGetFlags 0x7102d2f4c8
ptr_nvnTextureGetTarget 0x7102d2f4d0
ptr_nvnTextureGetWidth 0x7102d2f4d8
ptr_nvnTextureGetHeight 0x7102d2f4e0
ptr_nvnTextureGetDepth 0x7102d2f4e8
ptr_nvnTextureGetLevels 0x7102d2f4f0
ptr_nvnTextureGetFormat 0x7102d2f4f8
ptr_nvnTextureGetSamples 0x7102d2f500
ptr_nvnTextureGetSwizzle 0x7102d2f508
ptr_nvnTextureGetDepthStencilMode 0x7102d2f510
ptr_nvnTextureGetStride 0x7102d2f518
ptr_nvnTextureGetTextureAddress 0x7102d2f520
ptr_nvnTextureGetSparseTileLayout 0x7102d2f528
ptr_nvnTextureWriteTexels 0x7102d2f530
ptr_nvnTextureWriteTexelsStrided 0x7102d2f538
ptr_nvnTextureReadTexels 0x7102d2f540
ptr_nvnTextureReadTexelsStrided 0x7102d2f548
ptr_nvnTextureFlushTexels 0x7102d2f550
ptr_nvnTextureInvalidateTexels 0x7102d2f558
ptr_nvnTextureGetMemoryPool 0x7102d2f560
ptr_nvnTextureGetMemoryOffset 0x7102d2f568
ptr_nvnTextureGetStorageSize 0x7102d2f570
ptr_nvnTextureCompare 0x7102d2f578
ptr_nvnTextureGetDebugID 0x7102d2f580
ptr_nvnTextureGetRawStorageClass 0x7102d2f588
ptr_nvnSamplerBuilderSetDevice 0x7102d2f590
ptr_nvnSamplerBuilderSetDefaults 0x7102d2f598
ptr_nvnSamplerBuilderSetMinMagFilter 0x7102d2f5a0
ptr_nvnSamplerBuilderSetWrapMode 0x7102d2f5a8
ptr_nvnSamplerBuilderSetLodClamp 0x7102d2f5b0
ptr_nvnSamplerBuilderSetLodBias 0x7102d2f5b8
ptr_nvnSamplerBuilderSetCompare 0x7102d2f5c0
ptr_nvnSamplerBuilderSetBorderColor 0x7102d2f5c8
ptr_nvnSamplerBuilderSetBorderColori 0x7102d2f5d0
ptr_nvnSamplerBuilderSetBorderColorui 0x7102d2f5d8
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x7102d2f5e0
ptr_nvnSamplerBuilderSetReductionFilter 0x7102d2f5e8
ptr_nvnSamplerBuilderSetLodSnap 0x7102d2f5f0
ptr_nvnSamplerBuilderGetDevice 0x7102d2f5f8
ptr_nvnSamplerBuilderGetMinMagFilter 0x7102d2f600
ptr_nvnSamplerBuilderGetWrapMode 0x7102d2f608
ptr_nvnSamplerBuilderGetLodClamp 0x7102d2f610
ptr_nvnSamplerBuilderGetLodBias 0x7102d2f618
ptr_nvnSamplerBuilderGetCompare 0x7102d2f620
ptr_nvnSamplerBuilderGetBorderColor 0x7102d2f628
ptr_nvnSamplerBuilderGetBorderColori 0x7102d2f630
ptr_nvnSamplerBuilderGetBorderColorui 0x7102d2f638
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x7102d2f640
ptr_nvnSamplerBuilderGetReductionFilter 0x7102d2f648
ptr_nvnSamplerBuilderGetLodSnap 0x7102d2f650
ptr_nvnSamplerInitialize 0x7102d2f658
ptr_nvnSamplerFinalize 0x7102d2f660
ptr_nvnSamplerSetDebugLabel 0x7102d2f668
ptr_nvnSamplerGetMinMagFilter 0x7102d2f670
ptr_nvnSamplerGetWrapMode 0x7102d2f678
ptr_nvnSamplerGetLodClamp 0x7102d2f680
ptr_nvnSamplerGetLodBias 0x7102d2f688
ptr_nvnSamplerGetCompare 0x7102d2f690
ptr_nvnSamplerGetBorderColor 0x7102d2f698
ptr_nvnSamplerGetBorderColori 0x7102d2f6a0
ptr_nvnSamplerGetBorderColorui 0x7102d2f6a8
ptr_nvnSamplerGetMaxAnisotropy 0x7102d2f6b0
ptr_nvnSamplerGetReductionFilter 0x7102d2f6b8
ptr_nvnSamplerCompare 0x7102d2f6c0
ptr_nvnSamplerGetDebugID 0x7102d2f6c8
ptr_nvnBlendStateSetDefaults 0x7102d2f6d0
ptr_nvnBlendStateSetBlendTarget 0x7102d2f6d8
ptr_nvnBlendStateSetBlendFunc 0x7102d2f6e0
ptr_nvnBlendStateSetBlendEquation 0x7102d2f6e8
ptr_nvnBlendStateSetAdvancedMode 0x7102d2f6f0
ptr_nvnBlendStateSetAdvancedOverlap 0x7102d2f6f8
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x7102d2f700
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x7102d2f708
ptr_nvnBlendStateGetBlendTarget 0x7102d2f710
ptr_nvnBlendStateGetBlendFunc 0x7102d2f718
ptr_nvnBlendStateGetBlendEquation 0x7102d2f720
ptr_nvnBlendStateGetAdvancedMode 0x7102d2f728
ptr_nvnBlendStateGetAdvancedOverlap 0x7102d2f730
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x7102d2f738
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x7102d2f740
ptr_nvnColorStateSetDefaults 0x7102d2f748
ptr_nvnColorStateSetBlendEnable 0x7102d2f750
ptr_nvnColorStateSetLogicOp 0x7102d2f758
ptr_nvnColorStateSetAlphaTest 0x7102d2f760
ptr_nvnColorStateGetBlendEnable 0x7102d2f768
ptr_nvnColorStateGetLogicOp 0x7102d2f770
ptr_nvnColorStateGetAlphaTest 0x7102d2f778
ptr_nvnChannelMaskStateSetDefaults 0x7102d2f780
ptr_nvnChannelMaskStateSetChannelMask 0x7102d2f788
ptr_nvnChannelMaskStateGetChannelMask 0x7102d2f790
ptr_nvnMultisampleStateSetDefaults 0x7102d2f798
ptr_nvnMultisampleStateSetMultisampleEnable 0x7102d2f7a0
ptr_nvnMultisampleStateSetSamples 0x7102d2f7a8
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x7102d2f7b0
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x7102d2f7b8
ptr_nvnMultisampleStateGetMultisampleEnable 0x7102d2f7c0
ptr_nvnMultisampleStateGetSamples 0x7102d2f7c8
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x7102d2f7d0
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x7102d2f7d8
ptr_nvnMultisampleStateSetRasterSamples 0x7102d2f7e0
ptr_nvnMultisampleStateGetRasterSamples 0x7102d2f7e8
ptr_nvnMultisampleStateSetCoverageModulationMode 0x7102d2f7f0
ptr_nvnMultisampleStateGetCoverageModulationMode 0x7102d2f7f8
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x7102d2f800
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x7102d2f808
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x7102d2f810
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x7102d2f818
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x7102d2f820
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x7102d2f828
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x7102d2f830
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x7102d2f838
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x7102d2f840
ptr_nvnMultisampleStateSetSampleLocations 0x7102d2f848
ptr_nvnPolygonStateSetDefaults 0x7102d2f850
ptr_nvnPolygonStateSetCullFace 0x7102d2f858
ptr_nvnPolygonStateSetFrontFace 0x7102d2f860
ptr_nvnPolygonStateSetPolygonMode 0x7102d2f868
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x7102d2f870
ptr_nvnPolygonStateGetCullFace 0x7102d2f878
ptr_nvnPolygonStateGetFrontFace 0x7102d2f880
ptr_nvnPolygonStateGetPolygonMode 0x7102d2f888
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x7102d2f890
ptr_nvnDepthStencilStateSetDefaults 0x7102d2f898
ptr_nvnDepthStencilStateSetDepthTestEnable 0x7102d2f8a0
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x7102d2f8a8
ptr_nvnDepthStencilStateSetDepthFunc 0x7102d2f8b0
ptr_nvnDepthStencilStateSetStencilTestEnable 0x7102d2f8b8
ptr_nvnDepthStencilStateSetStencilFunc 0x7102d2f8c0
ptr_nvnDepthStencilStateSetStencilOp 0x7102d2f8c8
ptr_nvnDepthStencilStateGetDepthTestEnable 0x7102d2f8d0
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x7102d2f8d8
ptr_nvnDepthStencilStateGetDepthFunc 0x7102d2f8e0
ptr_nvnDepthStencilStateGetStencilTestEnable 0x7102d2f8e8
ptr_nvnDepthStencilStateGetStencilFunc 0x7102d2f8f0
ptr_nvnDepthStencilStateGetStencilOp 0x7102d2f8f8
ptr_nvnVertexAttribStateSetDefaults 0x7102d2f900
ptr_nvnVertexAttribStateSetFormat 0x7102d2f908
ptr_nvnVertexAttribStateSetStreamIndex 0x7102d2f910
ptr_nvnVertexAttribStateGetFormat 0x7102d2f918
ptr_nvnVertexAttribStateGetStreamIndex 0x7102d2f920
ptr_nvnVertexStreamStateSetDefaults 0x7102d2f928
ptr_nvnVertexStreamStateSetStride 0x7102d2f930
ptr_nvnVertexStreamStateSetDivisor 0x7102d2f938
ptr_nvnVertexStreamStateGetStride 0x7102d2f940
ptr_nvnVertexStreamStateGetDivisor 0x7102d2f948
ptr_nvnCommandBufferInitialize 0x7102d2f950
ptr_nvnCommandBufferFinalize 0x7102d2f958
ptr_nvnCommandBufferSetDebugLabel 0x7102d2f960
ptr_nvnCommandBufferSetMemoryCallback 0x7102d2f968
ptr_nvnCommandBufferSetMemoryCallbackData 0x7102d2f970
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x7102d2f978
ptr_nvnCommandBufferAddCommandMemory 0x7102d2f980
ptr_nvnCommandBufferAddControlMemory 0x7102d2f988
ptr_nvnCommandBufferGetCommandMemorySize 0x7102d2f990
ptr_nvnCommandBufferGetCommandMemoryUsed 0x7102d2f998
ptr_nvnCommandBufferGetCommandMemoryFree 0x7102d2f9a0
ptr_nvnCommandBufferGetControlMemorySize 0x7102d2f9a8
ptr_nvnCommandBufferGetControlMemoryUsed 0x7102d2f9b0
ptr_nvnCommandBufferGetControlMemoryFree 0x7102d2f9b8
ptr_nvnCommandBufferBeginRecording 0x7102d2f9c0
ptr_nvnCommandBufferEndRecording 0x7102d2f9c8
ptr_nvnCommandBufferCallCommands 0x7102d2f9d0
ptr_nvnCommandBufferCopyCommands 0x7102d2f9d8
ptr_nvnCommandBufferBindBlendState 0x7102d2f9e0
ptr_nvnCommandBufferBindChannelMaskState 0x7102d2f9e8
ptr_nvnCommandBufferBindColorState 0x7102d2f9f0
ptr_nvnCommandBufferBindMultisampleState 0x7102d2f9f8
ptr_nvnCommandBufferBindPolygonState 0x7102d2fa00
ptr_nvnCommandBufferBindDepthStencilState 0x7102d2fa08
ptr_nvnCommandBufferBindVertexAttribState 0x7102d2fa10
ptr_nvnCommandBufferBindVertexStreamState 0x7102d2fa18
ptr_nvnCommandBufferBindProgram 0x7102d2fa20
ptr_nvnCommandBufferBindVertexBuffer 0x7102d2fa28
ptr_nvnCommandBufferBindVertexBuffers 0x7102d2fa30
ptr_nvnCommandBufferBindUniformBuffer 0x7102d2fa38
ptr_nvnCommandBufferBindUniformBuffers 0x7102d2fa40
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x7102d2fa48
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x7102d2fa50
ptr_nvnCommandBufferBindStorageBuffer 0x7102d2fa58
ptr_nvnCommandBufferBindStorageBuffers 0x7102d2fa60
ptr_nvnCommandBufferBindTexture 0x7102d2fa68
ptr_nvnCommandBufferBindTextures 0x7102d2fa70
ptr_nvnCommandBufferBindImage 0x7102d2fa78
ptr_nvnCommandBufferBindImages 0x7102d2fa80
ptr_nvnCommandBufferSetPatchSize 0x7102d2fa88
ptr_nvnCommandBufferSetInnerTessellationLevels 0x7102d2fa90
ptr_nvnCommandBufferSetOuterTessellationLevels 0x7102d2fa98
ptr_nvnCommandBufferSetPrimitiveRestart 0x7102d2faa0
ptr_nvnCommandBufferBeginTransformFeedback 0x7102d2faa8
ptr_nvnCommandBufferEndTransformFeedback 0x7102d2fab0
ptr_nvnCommandBufferPauseTransformFeedback 0x7102d2fab8
ptr_nvnCommandBufferResumeTransformFeedback 0x7102d2fac0
ptr_nvnCommandBufferDrawTransformFeedback 0x7102d2fac8
ptr_nvnCommandBufferDrawArrays 0x7102d2fad0
ptr_nvnCommandBufferDrawElements 0x7102d2fad8
ptr_nvnCommandBufferDrawElementsBaseVertex 0x7102d2fae0
ptr_nvnCommandBufferDrawArraysInstanced 0x7102d2fae8
ptr_nvnCommandBufferDrawElementsInstanced 0x7102d2faf0
ptr_nvnCommandBufferDrawArraysIndirect 0x7102d2faf8
ptr_nvnCommandBufferDrawElementsIndirect 0x7102d2fb00
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x7102d2fb08
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x7102d2fb10
ptr_nvnCommandBufferClearColor 0x7102d2fb18
ptr_nvnCommandBufferClearColori 0x7102d2fb20
ptr_nvnCommandBufferClearColorui 0x7102d2fb28
ptr_nvnCommandBufferClearDepthStencil 0x7102d2fb30
ptr_nvnCommandBufferDispatchCompute 0x7102d2fb38
ptr_nvnCommandBufferDispatchComputeIndirect 0x7102d2fb40
ptr_nvnCommandBufferSetViewport 0x7102d2fb48
ptr_nvnCommandBufferSetViewports 0x7102d2fb50
ptr_nvnCommandBufferSetViewportSwizzles 0x7102d2fb58
ptr_nvnCommandBufferSetScissor 0x7102d2fb60
ptr_nvnCommandBufferSetScissors 0x7102d2fb68
ptr_nvnCommandBufferSetDepthRange 0x7102d2fb70
ptr_nvnCommandBufferSetDepthBounds 0x7102d2fb78
ptr_nvnCommandBufferSetDepthRanges 0x7102d2fb80
ptr_nvnCommandBufferSetTiledCacheAction 0x7102d2fb88
ptr_nvnCommandBufferSetTiledCacheTileSize 0x7102d2fb90
ptr_nvnCommandBufferBindSeparateTexture 0x7102d2fb98
ptr_nvnCommandBufferBindSeparateSampler 0x7102d2fba0
ptr_nvnCommandBufferBindSeparateTextures 0x7102d2fba8
ptr_nvnCommandBufferBindSeparateSamplers 0x7102d2fbb0
ptr_nvnCommandBufferSetStencilValueMask 0x7102d2fbb8
ptr_nvnCommandBufferSetStencilMask 0x7102d2fbc0
ptr_nvnCommandBufferSetStencilRef 0x7102d2fbc8
ptr_nvnCommandBufferSetBlendColor 0x7102d2fbd0
ptr_nvnCommandBufferSetPointSize 0x7102d2fbd8
ptr_nvnCommandBufferSetLineWidth 0x7102d2fbe0
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x7102d2fbe8
ptr_nvnCommandBufferSetAlphaRef 0x7102d2fbf0
ptr_nvnCommandBufferSetSampleMask 0x7102d2fbf8
ptr_nvnCommandBufferSetRasterizerDiscard 0x7102d2fc00
ptr_nvnCommandBufferSetDepthClamp 0x7102d2fc08
ptr_nvnCommandBufferSetConservativeRasterEnable 0x7102d2fc10
ptr_nvnCommandBufferSetConservativeRasterDilate 0x7102d2fc18
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x7102d2fc20
ptr_nvnCommandBufferCopyBufferToTexture 0x7102d2fc28
